riga,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
15,0,0,0,0,0,0,0,0,0,0,0,0.6758270399,0.004060950626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1418302159,0.01677748065,0.0001095318152,0.001158537857,0.02074561984,0.0004822494944,0.002609555675,6.009339494e-06,0.01668568227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1197071267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0.1422073825,0.586470712,0,0,0,0,0,0,0,0,0,0,0,0,0.1999158692,0,0,0,0,0.000240969308,0.001303936723,3.00273281e-06,0.008337462989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06152066463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9053792134,0,0,0,0,0,0,0,0,0,0,0,0.03125840759,0.02261957895,0.0001476719653,0.001561953136,0.02796946666,0.000269692855,0.00145936601,3.36065863e-06,0.009331288768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8689246802,0,0,0,0,0,0,0,0,0,0,0,0.1211747987,0.0001024414312,6.68789083e-07,7.073903321e-06,0.0001266704477,0.0002355649428,0.001274692541,2.935388695e-06,0.008150473636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7807312385,0,0,0,0,0,0,0,0,0,0,0,0.1649243989,0.01261241901,8.23402021e-05,0.0008709272383,0.01559545533,0.0006138750708,0.003321809963,7.649533593e-06,0.02123988621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0.05367706295,0,0.05386120382,0.8431119807,0,0,0,0,0,0,0,0,0,0,0.04124755438,0,0,0,0,0.0001975020402,0.001068725993,2.461084613e-06,0.006833509064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8530419181,0,0,0,0,0,0,0,0,0,0,0.01875713587,0.05241448992,0.0003421880996,0.003619385537,0.0648113447,0.0001709644698,0.0009251254955,2.130398378e-06,0.005915317395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8052491442,0,0,0,0,0,0,0,0,0,0,0.05160390516,0,0,0,0,0.0009766612705,0.005284924071,1.21702339e-05,0.0337921757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1030810194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6903732809,0.002750491159,0,0,0,0,0,0,0,0,0.1252975847,0.01736428785,0.0001133627871,0.001199058741,0.0214712162,0.002075074699,0.01122867524,2.585762865e-05,0.07179693814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05630417196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.6804345698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2479201331,0,0,0,0,0.0004898970095,0.002650938023,6.104635632e-06,0.01695028391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05154807347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0.7225285255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2540024177,0,0,0,0,0.0005124374044,0.002772908946,6.385512828e-06,0.01773017456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002447150397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0.06993727599,0,0,0,0,0,0,0.5075268817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372983871,0,0,0,0,0.000357126672,0.001932489188,4.450176599e-06,0.0123564716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03490143369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0.6464588551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2691390808,0,0,0,0,0.0004788619325,0.00259122485,5.967126885e-06,0.01656847369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06475753644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0.01494546923,0.7231722095,0,0,0,0,0,0,0,0,0,0,0,0,0.2228355998,0,0,0,0,0.0009518166516,0.005150484498,1.186064363e-05,0.03293255963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0.000159772484,0.1220981323,0,0,0.0313952931,0.02829570691,0,0.254261931,0,0.03900046334,0,0,0,0,0,0.001421975107,0.1634472511,0.1001852875,0.0006540598447,0.006918109498,0.1238806904,0.0009090160748,0.004918881377,1.132730311e-05,0.03145167301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09099042963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
