,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,20.31658955,16.65583364,2.019967424,4.399274199,0.7819175051,343.0804994,25.95264896,29.72003564,102.460121,81.07444937,471.283009,86.74437961,61.98515359,13.58115246,110.3786695,21.21195748,12.44734368,40.27783069,325.8103049,13.83616941,8.891639714,30.68336137,1.335830418,54.5316037,435.9134582,117.7065702,126.5150922,2.199052452,18.67733817,6.67806419,43.75091058,3.28526594,1.178393094,4.459255313,8.567968812,0.3991180245,8.374752048,6.147339778,20.34157258,0.894589054,0.2319384671,34.64660708,3.781096881,9.55409443,0.8291920667,1.527440816,0.0141085273,0,2.770241333,77.52718174,0.3059369174,0.6865452076,13.65765552,1.203402668,4.167783932,58.30383636,2.193240855,4.747992502,14.89130045,1.210232558,5.518267553,2.435938071,3.381276794,1.611034008,30.87654853,21.37862601,0,0,0,0,0
326,1.618574304,0.4837950569,0.1059130014,0.1568631267,0.2589937001,2.712116483,2.259059488,5.16120205,2.96886492,1.063788708,0.7346246991,1.781867115,17.41066294,1.133198911,2.611891476,0.70568885,1.188609197,2.112633807,19.93133197,3.183707224,0.2751999968,14.92413168,4.66901679,10.71520431,24.30994756,23.52903723,8.512573911,1.131738364,2.807102385,3.562102855,7.441532617,2.739015432,0.1649699163,0.1437246864,1.167769995,0.3433084782,0.279291007,1.007391221,0.659299175,0.5627899204,0.2517698275,2.96079913,6.355848534,27.04831192,0.5815796086,0.8962987086,0.001267673322,0,5.212824147,5.408649577,0.1085764042,0.3945358631,5.767219054,1.073543664,2.292036966,0.907359512,2.44496234,1.075786548,1.308896634,0.48537112,0.5485848781,3.274474965,3.151146344,2.391327652,4.649028504,3.88126595,0,0,0,0,0
42,6438.147922,2005.568744,892.9471229,1262.383819,1235.558775,14857.08581,6559.015119,662.4483862,1259.57945,1330.062771,2266.368714,1622.435167,3235.90449,494.0002316,3300.122028,818.0001516,254.030299,1797.984424,4076.694161,218.8278444,78.06261351,1487.130739,455.5326076,2781.830939,6307.865545,1749.022345,6116.561187,653.4430627,1542.020988,1700.726991,6438.705496,1344.369745,610.573195,202.4817434,2385.220928,347.8015968,3516.355708,863.2096257,455.134573,1465.165466,442.6425096,28045.30255,6451.273563,9941.671114,1282.367887,1906.136259,21.32934721,0,3833.377912,9300.11704,395.416186,1015.369703,4927.777942,1992.01348,3044.593858,947.0982977,1820.277843,9067.547065,16699.54482,708.3016634,289.0811361,1052.530223,1798.636196,935.5266609,2997.262469,3261.423835,0,0,0,0,0
441,282.540003,58.65019547,29.50416144,34.77055135,64.66437606,443.8777677,605.7647053,59.09495904,76.50971826,78.09659417,96.96591826,145.9753219,247.8901779,63.27905265,319.6051051,97.48255111,47.98171136,130.200747,523.9956731,23.32849976,8.589825934,117.0849941,62.70672674,210.1848779,596.3737524,146.1410133,1296.031544,169.6453049,250.7208935,425.9963471,1327.499704,274.9138168,28.94142093,319.1926776,157.9284038,79.82134325,89.86587097,148.3071417,87.34031456,274.0591179,51.02098522,1354.394163,1061.189901,3178.120361,272.1974177,452.5856275,5.307581012,0,1006.423838,1283.625073,89.99406395,230.8384788,519.3737499,311.1026356,603.2858667,84.15639342,329.4766042,212.817627,258.9754863,82.75436497,83.68672211,335.7675351,385.5195072,281.8581891,307.9617065,539.0432385,0,0,0,0,0
445,1.844562961,0.3828979155,0.1926179755,0.2269996123,0.4221615052,2.897856872,3.95473606,0.3858015553,0.4994938449,0.5098537673,0.6330421864,0.9530001735,1.618351509,0.4131174186,2.086542552,0.636415025,0.3132486962,0.8500158304,3.420906774,0.1523001562,0.05607869536,0.7643896125,0.4093809878,1.372192385,3.893427205,0.9540818904,8.461144461,1.107529704,1.636831842,2.781117983,8.666584404,1.794775389,0.188944123,2.083850018,1.031035892,0.521113795,0.5866895138,0.968223464,0.5702014139,1.789195485,0.3330906015,8.842164931,6.927980338,20.74836498,1.777041372,2.954706151,0.03465055299,0,6.570439986,8.38014879,0.5875264219,1.507029459,3.390732539,2.031034163,3.938552957,0.5494151785,2.150988653,1.389380293,1.690721967,0.5402620331,0.5463489285,2.192059008,2.516864855,1.840111737,2.010528601,3.519144834,0,0,0,0,0
452,19.51027669,4.049980636,2.037355231,2.401016033,4.46527874,30.65115725,41.82995993,4.080692961,5.283236909,5.392815687,6.695801918,10.08005553,17.11759717,4.369617797,22.06973867,6.731477043,3.313288222,8.990771468,36.18355084,1.61090635,0.5931545228,8.085087445,4.330096891,14.51392751,41.18148507,10.09149704,89.49505819,11.71454237,17.313067,29.41638887,91.6680337,18.98366452,1.998496227,22.04125925,10.90545347,5.51191504,6.205521301,10.24107503,6.03112368,18.92464487,3.523159651,93.52518074,73.27850344,219.4592161,18.79608861,31.25246238,0.3665051779,0,69.49673435,88.6383523,6.214373429,15.94012368,35.86439249,21.48261639,41.65878832,5.811263902,22.75139676,14.69572712,17.88307262,5.714449424,5.778831619,23.18580534,26.62133564,19.46319529,21.26572534,37.2226326,0,0,0,0,0
4A0,349.3651766,72.52189311,36.48236165,42.99433596,79.95852241,548.861871,749.0376264,73.07185028,94.60547514,96.56767227,119.8998895,180.5007913,306.5201205,78.24554812,395.1967607,120.5387142,59.33014399,160.9952802,647.9289266,28.84605844,10.62145545,144.7774447,77.5378581,259.8969214,737.4255649,180.7056713,1602.563475,209.7690991,310.0203451,526.751212,1641.474352,339.9352768,35.78652412,394.6867876,195.2809659,98.70035174,111.1205689,183.3841233,107.9976785,338.8784281,63.08825413,1674.729775,1312.178075,3929.796027,336.5764064,559.6292772,6.562907758,0,1244.458972,1587.222678,111.2790816,285.4354253,642.2138455,384.683323,745.9725033,104.0607098,407.4030254,263.1523573,320.2272795,102.3270794,103.4799538,415.1818608,476.7009602,348.522103,380.7995145,666.5354788,0,0,0,0,0
481,20.06719572,5.631366854,1.480499131,2.539842397,2.198252314,35.41908283,22.35861468,2.628718431,4.250417808,5.57321789,9.163000056,6.806828851,9.392047367,2.030859771,13.7247423,3.440416024,1.497213735,4.187466941,16.32307035,0.9522032553,0.237139439,6.383533786,1.86706978,8.4471173,23.27347998,7.433688436,24.78557624,3.964133189,7.862554943,8.865422694,34.52506049,7.514985374,11.01920054,1.469889509,7.180774769,1.595909221,5.803202266,3.734890213,1.615208495,2.68447594,1.818554934,26.55590599,11.20159272,55.24251203,4.2057875,7.404265298,0.05771959629,0,32.32582028,41.14226424,1.908163759,2.363866525,14.02143611,6.64237621,11.0534908,3.053905692,6.044738436,9.841188438,14.85241317,2.908104074,1.642082548,4.868258897,8.456615876,9.012604054,11.63492172,13.81304179,0,0,0,0,0
