,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
323,4382.694932,0,0,0,0,-2.953298471,2184.456436,-2401.031657,0,0,0,0,0,0,0,0,0,0,0,0
324,297824.8428,0,0,0,0,9144.406475,132200.6518,-97220.44451,0,0,0,0,0,0,0,0,0,0,0,0
325,273831.1708,0,3137.109674,0,0,6805.487083,151074.6595,-248576.4911,0,0,0,0,0,0,0,0,0,0,0,0
326,34676.96807,0,257.0060874,0,36.71515535,1057.793395,23376.63864,-47720.77124,0,0,0,0,0,0,37.70745684,0,0,0,0,0
42,515242.0797,89.17839473,198747.9568,21904.32334,3248.778509,5860.842458,186089.4193,35991.63299,0,0,8720.304534,526.4402012,0,0,4551.933761,665.4817844,0,0,9254.415995,2043.431819
441,253706.3053,0,24901.25663,0,6.546358487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,194538.4105,0,131.0591591,0.8795916719,6.157141703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,212768.3289,0,1560.744742,450.5957218,175.2866874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,750021.5448,0,26706.04669,8377.755267,5518.927902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,126767.2126,0,663.3023938,67.15678442,6.199087792,16.53090078,42747.87624,-38233.90714,0,0,48.55952104,2.066362597,0,0,11.36499429,2.066362597,0,0,32.02862026,6.199087792
482,7612.566296,0,3476.085083,0,32.01920629,440.2640865,10164.0968,352.2112692,0,0,286.1716562,0,0,0,29.0174057,0,0,0,178.106835,0
483,21073.74476,0,7.904630443,0,0,51.38009788,5638.965742,11058.57799,0,0,1.976157611,0,0,0,0,0,0,0,0,0
484,76398.40468,21.85422717,22065.81582,567.2165324,386.4224713,1095.69148,27763.80887,4252.633932,0,0,481.7863716,13.90723547,0,0,177.8139392,16.88735736,0,0,910.9239233,52.64881999
485,40245.49081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,2676.885288,0,0,0,0,610.9407864,2751.019915,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,17342.03959,0,0,0,0,0,8821.079761,2797.983277,0,0,0,0,0,0,0,0,0,0,0,0
493,228.9192182,0,0,0,0,0,160.5407504,0,0,0,0,0,0,0,0,0,0,0,0,0
511,86145.13824,0,0,88332.64422,0,-307.6501837,35433.27551,-4297.842199,0,0,0,1878.826875,0,0,0,2372.713457,0,0,0,7288.942815
512,25157.88555,0,0,36165.50231,0,-251.0199439,20491.46402,-8350.335322,0,0,0,0,0,0,0,0,0,0,0,0
513,358242.9362,0,7561.41814,29877.55224,0,0,14530.95656,-175.2953885,0,0,0,0,0,0,0,0,0,0,0,0
514,39429.59448,0,0,26520.75355,0,0,5281.119051,-1172.796331,0,0,0,1328.361047,0,0,0,1634.439676,0,0,0,4583.098152
521CI,202463.2437,0,0,0,0,0,43120.91405,-5076.907377,0,0,0,0,0,0,0,0,0,0,0,0
523,184725.399,0,0,0,0,0,53333.53189,-50.69964384,0,0,0,0,0,0,0,0,0,0,0,0
524,339386.0709,0,0,0,6540.269684,0,16347.35716,-49535.83768,0,0,0,0,0,0,0,0,0,0,0,0
525,141478.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,1741016.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,5388.652247,28605.63922,0,0,111872.2235,0,2962.928009,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL,92447.61542,0,0,0,0,0,74788.45955,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,86261.23481,0,0,0,18244.33696,0,11495.36523,-2867.649589,0,0,0,0,0,0,0,0,0,0,0,0
5415,0,0,27986.06376,217181.8528,0,0,27021.96865,-32588.09511,0,0,310.8629118,8427.955632,0,0,0,22037.65994,0,0,1999.604676,6942.955101
5412OP,66219.96592,0,50544.7958,395043.8447,2231.137352,0,133456.3388,-83228.09758,0,0,0,49105.99825,0,0,0,71729.15892,0,0,0,19007.57398
55,0,0,0,0,0,0,4030.291043,0,0,0,0,0,0,0,0,0,0,0,0,0
561,56194.32748,0,0,0,0,0,1940.373206,-1625.06256,0,0,0,0,0,0,0,0,0,0,0,0
562,23712.14843,0,0,0,0,0,109.778465,-195.3684546,0,0,0,0,0,0,0,0,0,0,0,0
61,320778.9135,0,0,0,0,0,2527.556384,-1345.638643,0,0,0,0,0,0,0,0,0,0,0,0
621,979816.0346,0,0,0,0,0,899.8178502,-124.5153349,0,0,0,0,0,0,0,0,0,0,0,0
622,943254.5291,0,0,0,0,0,1974.938232,-3748.064809,0,0,0,0,0,0,0,0,0,0,0,0
623,221783.0608,0,0,0,0,0,224.1903042,-34.56267189,0,0,0,0,0,0,0,0,0,0,0,0
624,194243.9146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS,71977.19934,0,0,4525.320216,0,0,1364.290861,-1383.289606,0,0,0,0,0,0,0,0,0,0,0,0
713,184144.3976,0,0,0,0,0,3.713955188,-0.9284887969,0,0,0,0,0,0,0,0,0,0,0,0
721,141691.2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,631399.6873,0,0,0,0,0,2325.111619,0,0,0,0,0,0,0,0,0,0,0,0,0
81,555824.1094,0,0,0,0,0,68.39126265,-3975.935296,0,0,0,0,0,0,0,0,0,0,0,0
GFGD,0,0,0,0,0,0,0,0,570427.1083,0,0,0,0,0,0,0,0,0,0,0
GFGN,0,0,0,0,0,0,0,0,0,0,0,0,353424.9786,0,0,0,0,0,0,0
GFE,7346.452971,0,0,0,0,0,526.3933353,-287.2109621,0,0,0,0,0,0,0,0,0,0,0,0
GSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600214.681,0,0,0
GSLE,64415.62027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Used,76043.37574,-2320.62764,-106545.2905,0,-69.49159108,5883.295127,18049.21734,-13312.04409,0,-3.915019216,0,0,0,-1061.948962,12.72381245,0,0,3451.089439,-14524.72129,0
Other,-92827.06312,0,0,6008.575742,0,0,195946.7118,-237294.2085,0,0,0,0,0,0,0,0,0,0,0,0
