anno,industria_io,E,N,S
2013,334,21568,75795,6892
2013,335,3007,4682,520
2013,3361MV,23397,19341,3383
2013,3364OT,6208,16213,1602
2013,337,1132,731,206
2013,339,5634,7608,825
2013,42,37487,20090,7532
2013,441,4651,1067,3235
2013,445,6985,1593,2470
2013,452,8181,3780,5354
2013,481,16101,1232,791
2013,482,6103,746,8865
2013,483,4390,531,196
2013,484,20124,596,471
2013,485,4200,399,199
2013,486,6719,882,14610
2013,487OS,4193,780,1293
2013,493,1434,408,1234
2013,4A0,29809,10140,9524
2013,511,6425,57673,1266
2013,512,1629,31019,779
2013,513,79020,39761,17598
2013,514,20010,30546,3545
2013,521CI,82612,19435,4555
2013,523,6167,11461,1433
2013,524,10149,27069,2122
2013,525,63,305,21
2013,532RL,72947,1489,619
2013,5411,3451,2304,606
2013,5412OP,26899,59826,4516
2013,5415,8953,18236,1028
2013,55,9422,22419,2483
2013,561,18673,19391,2113
2013,562,4713,336,670
2013,61,8830,10014,13193
2013,621,30396,4667,6678
2013,622,47422,9287,22351
2013,623,3584,812,3005
2013,624,2065,612,3256
2013,711AS,4467,8074,3292
2013,713,5814,709,6013
2013,721,4837,1105,11202
2013,722,16449,1358,4601
2013,81,14622,8541,6693
2013,ORE,18189,4046,23821
2014,111CA,57856,68,12388
2014,113FF,6966,108,732
2014,211,10906,2981,178697
2014,212,7809,405,9278
2014,213,18855,1152,6598
2014,22,62088,6723,71314
2014,23,38537,3038,1816
2014,311FT,20049,6784,5770
2014,313TT,1484,686,377
2014,315AL,375,635,56
2014,321,3769,269,628
2014,322,9124,2226,1389
2014,323,2558,1415,290
2014,324,10848,9005,7268
2014,325,27027,81853,7030
2014,326,9059,3273,1596
2014,327,4859,3774,1203
2014,331,6991,3003,1221
2014,332,12737,4578,1884
2014,333,10843,12600,2154
2014,334,19550,80318,5032
2014,335,3179,4722,611
2014,3361MV,25147,21279,2855
2014,3364OT,6389,16108,1612
2014,337,1108,723,261
2014,339,6185,7689,971
2014,42,46005,25195,11025
2014,441,5802,1359,2130
2014,445,7582,1987,3680
2014,452,7695,3740,5783
2014,481,19375,1427,605
2014,482,9032,1062,9896
2014,483,5187,1278,429
2014,484,26339,927,590
2014,485,2801,231,54
2014,486,11329,1153,17537
2014,487OS,7986,1520,1296
2014,493,2908,861,1509
2014,4A0,34869,12153,13232
2014,511,8916,62603,1796
2014,512,1570,30910,585
2014,513,84859,44773,15715
2014,514,22323,36452,7505
2014,521CI,92134,21907,6648
2014,523,6272,12632,1749
2014,524,10582,26346,3287
2014,525,62,346,33
2014,532RL,80979,2315,862
2014,5411,2683,1906,683
2014,5412OP,25519,57927,4712
2014,5415,6443,19100,763
2014,55,9251,20872,2730
2014,561,19341,20856,2365
2014,562,5250,351,687
2014,61,8648,10102,14399
2014,621,29410,4845,6265
2014,622,45916,9402,21470
2014,623,3684,942,4007
2014,624,2389,761,2005
