anno,prodotto,quota_stesso_codice,industria_principale,principale_coincide
2014,325,0.9491787111,325,True
2014,326,0.9639287725,326,True
2014,42,0.9422654391,42,True
2014,441,0.9903451159,441,True
2014,445,0.9719314683,445,True
2014,452,0.9708246502,452,True
2014,4A0,0.963575729,4A0,True
2014,481,0.9993303958,481,True
2014,482,0.9984069816,482,True
2014,483,0.9762748944,483,True
2014,484,0.9905898147,484,True
2014,485,0.7934736046,485,True
2014,486,0.9147058181,486,True
2014,487OS,0.880780503,487OS,True
2014,493,0.9457199792,493,True
2014,511,0.9343693948,511,True
2014,512,0.9893131004,512,True
2014,513,0.9973731704,513,True
2014,514,0.7375515702,514,True
2014,521CI,0.9669177087,521CI,True
2014,523,0.9403949257,523,True
2014,524,0.9886710682,524,True
2014,525,0.8621003326,525,True
2014,HS,0.9961797605,HS,True
2014,ORE,0.9715470749,ORE,True
2014,532RL,0.784917369,532RL,True
2014,5411,0.9992531433,5411,True
2014,5415,0.7841411648,5415,True
2014,5412OP,0.6684094132,5412OP,True
2014,55,1,55,True
2014,561,0.9781606511,561,True
2014,562,0.8413422648,562,True
2014,61,0.7295363886,61,True
2014,621,0.9598882424,621,True
2014,622,0.7984823864,622,True
2014,623,0.9908287492,623,True
2014,624,0.9782829668,624,True
2014,711AS,0.962030162,711AS,True
2014,713,0.6058217364,713,True
2014,721,0.8288139472,721,True
2014,722,0.8432972009,722,True
2014,81,0.7948927077,81,True
2014,GFGD,1,GFGD,True
2014,GFGN,1,GFGN,True
2014,GFE,0.991967655,GFE,True
2014,GSLG,1,GSLG,True
2014,GSLE,0.9734253871,GSLE,True
2015,111CA,0.9981260781,111CA,True
2015,113FF,0.8469223991,113FF,True
2015,211,0.9977291505,211,True
2015,212,0.9848486679,212,True
2015,213,0.815519275,213,True
2015,22,0.764065928,22,True
2015,23,0.9361759097,23,True
2015,321,0.9877065162,321,True
2015,327,0.986239014,327,True
2015,331,0.9801349825,331,True
2015,332,0.9782956859,332,True
2015,333,0.9767135072,333,True
2015,334,0.9771716966,334,True
2015,335,0.9641982715,335,True
2015,3361MV,0.9939030052,3361MV,True
2015,3364OT,0.9857116206,3364OT,True
2015,337,0.9817135211,337,True
2015,339,0.952528475,339,True
2015,311FT,0.9758550105,311FT,True
2015,313TT,0.9513866429,313TT,True
2015,315AL,0.8995139476,315AL,True
2015,322,0.9775333874,322,True
2015,323,0.9100189261,323,True
2015,324,0.9618422384,324,True
2015,325,0.9630617285,325,True
2015,326,0.9665580219,326,True
2015,42,0.9445405152,42,True
2015,441,0.9917240131,441,True
2015,445,0.9732162672,445,True
2015,452,0.9714935475,452,True
2015,4A0,0.9627171829,4A0,True
2015,481,0.9995117165,481,True
2015,482,0.9983420387,482,True
2015,483,0.9759590487,483,True
2015,484,0.9914710551,484,True
2015,485,0.7980591332,485,True
2015,486,0.9398716578,486,True
2015,487OS,0.8752023216,487OS,True
2015,493,0.9433313077,493,True
2015,511,0.9279817979,511,True
2015,512,0.9890877469,512,True
2015,513,0.997309747,513,True
2015,514,0.7086793796,514,True
2015,521CI,0.9686715467,521CI,True
2015,523,0.9415039186,523,True
2015,524,0.9901055368,524,True
2015,525,0.8683486359,525,True
2015,HS,0.9961835091,HS,True
2015,ORE,0.9742041045,ORE,True
2015,532RL,0.7727841845,532RL,True
2015,5411,0.9994372196,5411,True
2015,5415,0.7850059752,5415,True
2015,5412OP,0.6666952242,5412OP,True
2015,55,1,55,True
2015,561,0.9797533065,561,True
2015,562,0.8386491889,562,True
2015,61,0.7286572805,61,True
2015,621,0.960384105,621,True
2015,622,0.8006268653,622,True
2015,623,0.9920389533,623,True
2015,624,0.977942035,624,True
2015,711AS,0.9637097023,711AS,True
2015,713,0.6120158519,713,True
2015,721,0.8343805058,721,True
2015,722,0.8499319245,722,True
2015,81,0.8027869094,81,True
2015,GFGD,1,GFGD,True
2015,GFGN,1,GFGN,True
2015,GFE,0.9935590134,GFE,True
2015,GSLG,1,GSLG,True
2015,GSLE,0.9690789204,GSLE,True
2016,111CA,0.998018547,111CA,True
2016,113FF,0.8543112665,113FF,True
2016,211,0.9975194558,211,True
2016,212,0.9838888742,212,True
2016,213,0.7776233332,213,True
2016,22,0.7527432885,22,True
2016,23,0.9423392813,23,True
2016,321,0.9883694367,321,True
2016,327,0.9837139493,327,True
2016,331,0.9783671105,331,True
2016,332,0.9811224458,332,True
2016,333,0.9782337467,333,True
2016,334,0.9798820518,334,True
2016,335,0.9619490416,335,True
2016,3361MV,0.9940061674,3361MV,True
2016,3364OT,0.9827644269,3364OT,True
2016,337,0.9819902739,337,True
2016,339,0.9518784534,339,True
2016,311FT,0.9769005415,311FT,True
2016,313TT,0.9487632509,313TT,True
2016,315AL,0.8948406353,315AL,True
2016,322,0.9792943571,322,True
2016,323,0.917196267,323,True
2016,324,0.9546373495,324,True
2016,325,0.9652141119,325,True
2016,326,0.9681484957,326,True
2016,42,0.9438262404,42,True
2016,441,0.9924709672,441,True
2016,445,0.9739391526,445,True
2016,452,0.9705598043,452,True
2016,4A0,0.9619115789,4A0,True
2016,481,0.9996689077,481,True
2016,482,0.9982823911,482,True
2016,483,0.9804992359,483,True
2016,484,0.9927195294,484,True
