anno,blocco,riga,colonna,valore,categoria
2012,F,514,F050,-898,importazioni (segno negativo per convenzione)
2012,F,521CI,F050,-8082,importazioni (segno negativo per convenzione)
2012,F,523,F050,-56,importazioni (segno negativo per convenzione)
2012,F,524,F050,-58218,importazioni (segno negativo per convenzione)
2012,F,5411,F050,-2425,importazioni (segno negativo per convenzione)
2012,F,5415,F050,-23843,importazioni (segno negativo per convenzione)
2012,F,5412OP,F050,-68435,importazioni (segno negativo per convenzione)
2012,F,561,F050,-1032,importazioni (segno negativo per convenzione)
2012,F,562,F050,-123,importazioni (segno negativo per convenzione)
2012,F,61,F050,-1557,importazioni (segno negativo per convenzione)
2012,F,621,F050,-57,importazioni (segno negativo per convenzione)
2012,F,622,F050,-2337,importazioni (segno negativo per convenzione)
2012,F,623,F050,-16,importazioni (segno negativo per convenzione)
2012,F,711AS,F050,-846,importazioni (segno negativo per convenzione)
2012,F,81,F050,-3335,importazioni (segno negativo per convenzione)
2012,F,GFE,F050,-450,importazioni (segno negativo per convenzione)
2012,F,Used,F02S,-1375,riga o colonna speciale (Used/Other)
2012,F,Used,F02E,-102007,riga o colonna speciale (Used/Other)
2012,F,Used,F02R,-1384,riga o colonna speciale (Used/Other)
2012,F,Used,F050,-12669,importazioni (segno negativo per convenzione)
2012,F,Used,F06S,-4,riga o colonna speciale (Used/Other)
2012,F,Used,F07S,-365,riga o colonna speciale (Used/Other)
2012,F,Used,F07E,-76,riga o colonna speciale (Used/Other)
2012,F,Used,F10E,-8223,riga o colonna speciale (Used/Other)
2012,F,Other,F010,-73359,riga o colonna speciale (Used/Other)
2012,F,Other,F050,-214080,importazioni (segno negativo per convenzione)
2012,VA,V002,111CA,-542,sussidi superiori alle imposte
2012,VA,V002,GFE,-5124,sussidi superiori alle imposte
2012,VA,V002,GSLE,-17394,sussidi superiori alle imposte
2013,U,111CA,GFGN,-432,da esaminare
2013,U,Used,111CA,-43,riga o colonna speciale (Used/Other)
2013,U,Used,481,-430,riga o colonna speciale (Used/Other)
2013,U,Used,483,-68,riga o colonna speciale (Used/Other)
2013,U,Used,484,-369,riga o colonna speciale (Used/Other)
2013,U,Used,711AS,-119,riga o colonna speciale (Used/Other)
2013,U,Used,GFGD,-30,riga o colonna speciale (Used/Other)
2013,F,111CA,F050,-34454,importazioni (segno negativo per convenzione)
2013,F,113FF,F030,-28,riduzione delle scorte
2013,F,113FF,F050,-16130,importazioni (segno negativo per convenzione)
2013,F,211,F050,-289005,importazioni (segno negativo per convenzione)
2013,F,212,F030,-123,riduzione delle scorte
2013,F,212,F050,-5582,importazioni (segno negativo per convenzione)
2013,F,213,F050,-1306,importazioni (segno negativo per convenzione)
2013,F,22,F050,-2602,importazioni (segno negativo per convenzione)
2013,F,321,F050,-15829,importazioni (segno negativo per convenzione)
2013,F,327,F050,-21171,importazioni (segno negativo per convenzione)
2013,F,331,F050,-83912,importazioni (segno negativo per convenzione)
2013,F,332,F050,-57613,importazioni (segno negativo per convenzione)
2013,F,333,F050,-136184,importazioni (segno negativo per convenzione)
2013,F,334,F050,-299458,importazioni (segno negativo per convenzione)
2013,F,335,F050,-82400,importazioni (segno negativo per convenzione)
2013,F,3361MV,F050,-277035,importazioni (segno negativo per convenzione)
2013,F,3364OT,F050,-49721,importazioni (segno negativo per convenzione)
2013,F,337,F050,-31611,importazioni (segno negativo per convenzione)
2013,F,339,F050,-78392,importazioni (segno negativo per convenzione)
2013,F,311FT,F050,-79338,importazioni (segno negativo per convenzione)
2013,F,313TT,F050,-28506,importazioni (segno negativo per convenzione)
2013,F,315AL,F050,-138428,importazioni (segno negativo per convenzione)
2013,F,322,F050,-22492,importazioni (segno negativo per convenzione)
2013,F,323,F050,-2356,importazioni (segno negativo per convenzione)
2013,F,324,F030,-24,riduzione delle scorte
2013,F,324,F050,-105810,importazioni (segno negativo per convenzione)
2013,F,325,F050,-210900,importazioni (segno negativo per convenzione)
2013,F,326,F050,-46815,importazioni (segno negativo per convenzione)
2013,F,481,F050,-39769,importazioni (segno negativo per convenzione)
2013,F,486,F030,-422,riduzione delle scorte
2013,F,511,F050,-3752,importazioni (segno negativo per convenzione)
2013,F,512,F050,-6686,importazioni (segno negativo per convenzione)
2013,F,513,F050,-162,importazioni (segno negativo per convenzione)
2013,F,514,F050,-1023,importazioni (segno negativo per convenzione)
2013,F,521CI,F050,-7195,importazioni (segno negativo per convenzione)
2013,F,523,F050,-58,importazioni (segno negativo per convenzione)
2013,F,524,F050,-52396,importazioni (segno negativo per convenzione)
2013,F,5411,F050,-2442,importazioni (segno negativo per convenzione)
2013,F,5415,F050,-25655,importazioni (segno negativo per convenzione)
2013,F,5412OP,F050,-73480,importazioni (segno negativo per convenzione)
2013,F,561,F050,-1149,importazioni (segno negativo per convenzione)
2013,F,562,F050,-137,importazioni (segno negativo per convenzione)
2013,F,61,F050,-1437,importazioni (segno negativo per convenzione)
2013,F,621,F050,-60,importazioni (segno negativo per convenzione)
2013,F,622,F050,-2595,importazioni (segno negativo per convenzione)
2013,F,623,F050,-17,importazioni (segno negativo per convenzione)
2013,F,711AS,F050,-1004,importazioni (segno negativo per convenzione)
