,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
326,32325,0,163,0,21,2424,25101,-45416,0,0,0,0,0,0,27,0,0,0,0,0
42,466261,36,180881,21333,1748,10842,186059,33503,0,0,10045,520,0,0,3904,742,0,0,6414,1352
441,126068,0,12188,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,187175,0,154,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,193645,0,1667,298,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,621539,0,23681,4240,4338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,118996,0,326,28,3,19,47719,-46100,0,0,33,1,0,0,7,1,0,0,15,2
482,7722,0,2790,0,28,552,13082,270,0,0,40,0,0,0,9,0,0,0,126,0
483,17747,0,11,0,0,56,6832,13267,0,0,3,0,0,0,0,0,0,0,0,0
484,73887,12,21608,543,650,1759,30411,2736,0,0,797,13,0,0,184,19,0,0,747,34
485,33217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,2126,0,0,0,0,593,2239,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,18137,0,0,0,0,0,10630,3495,0,0,0,0,0,0,0,0,0,0,0,0
493,173,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0
511,63169,0,0,67211,0,-58,35409,-3714,0,0,0,1403,0,0,0,2000,0,0,0,3650
512,27096,0,0,31961,0,90,18644,-6834,0,0,0,0,0,0,0,0,0,0,0,0
513,293838,0,7160,23236,0,0,16269,-155,0,0,0,0,0,0,0,0,0,0,0,0
514,28846,0,0,13160,0,0,4233,-898,0,0,0,772,0,0,0,815,0,0,0,1881
521CI,204408,0,0,0,0,0,43630,-8082,0,0,0,0,0,0,0,0,0,0,0,0
523,205968,0,0,0,0,0,61952,-56,0,0,0,0,0,0,0,0,0,0,0,0
524,296669,0,0,0,5936,0,16539,-58218,0,0,0,0,0,0,0,0,0,0,0,0
525,123718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,1720652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,5302,14605,0,0,82652,0,3468,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL,73487,0,0,0,0,0,71305,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,90901,0,0,0,14194,0,11032,-2425,0,0,0,0,0,0,0,0,0,0,0,0
5415,0,0,16423,169328,0,0,14946,-23843,0,0,2065,6328,0,0,0,16732,0,0,978,7017
5412OP,55629,0,47174,314582,1054,0,111395,-68435,0,0,0,61470,0,0,0,69932,0,0,0,15675
55,0,0,0,0,0,0,3669,0,0,0,0,0,0,0,0,0,0,0,0,0
561,48068,0,0,0,0,0,1682,-1032,0,0,0,0,0,0,0,0,0,0,0,0
562,23330,0,0,0,0,0,59,-123,0,0,0,0,0,0,0,0,0,0,0,0
61,300213,0,0,0,0,0,2597,-1557,0,0,0,0,0,0,0,0,0,0,0,0
621,848650,0,0,0,0,0,295,-57,0,0,0,0,0,0,0,0,0,0,0,0
622,853564,0,0,0,0,0,934,-2337,0,0,0,0,0,0,0,0,0,0,0,0
623,206871,0,0,0,0,0,62,-16,0,0,0,0,0,0,0,0,0,0,0,0
624,171101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS,61799,0,0,4199,0,0,1698,-846,0,0,0,0,0,0,0,0,0,0,0,0
713,162928,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
721,123926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,570606,0,0,0,0,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0
81,512966,0,0,0,0,0,320,-3335,0,0,0,0,0,0,0,0,0,0,0,0
GFGD,0,0,0,0,0,0,0,0,650338,0,0,0,0,0,0,0,0,0,0,0
GFGN,0,0,0,0,0,0,0,0,0,0,0,0,349383,0,0,0,0,0,0,0
GFE,7595,0,0,0,0,0,375,-450,0,0,0,0,0,0,0,0,0,0,0,0
GSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515718,0,0,0
GSLE,58568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Used,55333,-1375,-102007,0,-1384,7860,31193,-12669,0,-4,0,0,0,-365,-76,0,0,3122,-8223,0
Other,-73359,0,0,5571,0,0,161166,-214080,0,0,0,0,0,0,0,0,0,0,0,0
