caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P2|inv1.0|m1.0|S1.0|T1,2,0.8270292812,1,0.8080459193,0.5905566888,0.9479058265,1.186727566,1.197116681,0.7867748549
P2|inv1.0|m1.0|S1.0|T3,2,0.8319099602,1,0.8289896618,0.5853494814,0.9479058131,1.188326317,1.197113603,0.7867748549
P1|tetto100|ind|T2,2,0.8350252473,1,0.759318598,0.7919000292,0.5534195351,0.5937686337,1.843577458,2.148400317
P1|tetto100|agg+ind|T1,2,0.8517783823,1,0.7643049226,0.5896206277,0.7428935313,1.029038273,1.446594932,2.435768739
P0,2,0.8529463398,1,0.8640281157,1.085624286,0.6382412251,0.5437736039,1.101813435,0.6186868432
condizionata|P1|E6|agg|T1,2,0.8625059606,1,0.9457993982,0.6151699782,0.4759602769,0.2922241116,3.76415526,1.631858363
P1|stretto|agg+ind|T3,2,0.8737510549,1,0.7884887095,0.6851855064,0.7801403645,1.029687513,0.9827480981,2.470291221
ultimo_tasso,2,0.8762564348,1,1.132032147,0.7650532807,0.588231368,0.5437736039,2.004730332,0.6974131172
P1|E6|ind|T3,2,0.878001059,1,0.8199224406,0.6231104178,0.7517749284,1.134128359,1.225415758,2.401051841
P1|tetto110|agg+ind|T3,2,0.8781124406,1,0.7874380154,0.6854175099,0.7805376297,1.029785254,0.9421874642,2.60120717
P1|tetto100|agg+ind|T3,2,0.8794518462,1,0.7990971169,0.5909469442,0.752187943,1.030122749,1.747481458,2.432293829
P1|tetto100|agg+ind|T2,2,0.8817217943,1,0.8150921988,0.7929177219,0.6417973847,0.5402426192,2.202505071,2.136196513
P1|largo|ind|T3,2,0.8832153006,1,0.8204259459,0.6236854799,0.7444388497,1.119830489,1.1648873,2.617333781
P1|tetto100|agg|T3,2,0.8868257068,1,0.9937405231,0.5890986358,0.5130973012,0.8770243593,1.933439245,2.499602014
P1|tetto100|ind|T3,2,0.8906464716,1,0.8435509382,0.6155387573,0.7551980135,1.055399979,1.345157011,2.581642235
P1|tetto110|ind|T3,2,0.8922817346,1,0.8091020821,0.6405299667,0.7497217095,1.131913724,1.284095879,2.601032234
P1|tetto110|ind|T1,2,0.8925444796,1,0.7536812525,0.6762896606,0.7956825891,1.295884212,1.19419718,2.302368154
P1|stretto|ind|T3,2,0.8929012192,1,0.8079406578,0.6393188449,0.7530377336,1.135365391,1.286280746,2.605304905
P1|stretto|ind|T1,2,0.8936212307,1,0.7537573329,0.6762876388,0.7981372878,1.296895828,1.195954224,2.309859752
P2|inv1.0|m0.0|S0.0|T3,2,0.9063814865,1,0.8119963788,0.6041031539,0.9507510717,1.175862728,1.755007041,1.721295748
P2|inv1.0|m0.0|S0.0|T1,2,0.921356286,1,0.7788659862,0.6282210106,0.9507385893,1.176873064,1.709467672,2.118435582
P2|lx2.0|li0.5|T1,2,0.9382099894,1,0.7772408315,0.6169424435,1.09835799,1.184182261,1.70986406,1.927439596
P2|lx0.5|li0.1|T3,2,0.9448241528,1,0.813638259,0.5859820045,1.101330767,1.164292306,1.686022876,2.078830919
P2|lx2.0|li0.5|T3,2,0.9463631037,1,0.7718307248,0.6163001028,1.098336683,1.184062806,1.789189783,2.047814982
P2|lx0.5|li0.1|T1,2,0.9473666635,1,0.7914797109,0.6019630996,1.114972835,1.230787907,1.69604864,1.96916061
P2|lx0.5|li0.5|T3,2,0.9540463662,1,0.8125789605,0.5884163033,1.100429804,1.169724744,1.686792343,2.246994693
P1|E6|agg+ind|T3,2,0.9541941268,1,0.8836021798,0.8304051993,0.785841257,1.03054904,1.067197991,2.528177163
P1|tetto110|agg+ind|T1,2,0.9567396425,1,0.7911043535,0.7905043929,0.9983599104,1.076053852,1.017872825,2.481720201
P2|uniformi|li0.5|T1,2,0.9628653971,1,0.7871213649,0.7173514306,1.095441747,1.197783175,1.43306371,2.020074123
P1|stretto|agg+ind|T1,2,0.9685212614,1,0.801946727,0.7900353069,0.997144423,1.075995706,1.198996465,2.478967454
