anno,gruppo,chiave,valore
2008,investimento_ind,512|E,1.931341227
2008,investimento_ind,512|N,29.6840958
2008,investimento_ind,512|S,0.5052912952
2008,investimento_ind,513|E,49.90302504
2008,investimento_ind,513|N,33.82051261
2008,investimento_ind,513|S,32.54881266
2008,investimento_ind,514|E,4.815139201
2008,investimento_ind,514|N,12.85612031
2008,investimento_ind,514|S,1.599557031
2008,investimento_ind,521CI|E,61.96498794
2008,investimento_ind,521CI|N,12.82582973
2008,investimento_ind,521CI|S,16.16823718
2008,investimento_ind,523|E,6.077401689
2008,investimento_ind,523|N,7.699012748
2008,investimento_ind,523|S,5.047541139
2008,investimento_ind,524|E,7.616170574
2008,investimento_ind,524|N,17.81522373
2008,investimento_ind,524|S,3.506128289
2008,investimento_ind,525|E,0.2863722222
2008,investimento_ind,525|N,0.1668510342
2008,investimento_ind,525|S,1.297741228
2008,investimento_ind,532RL|E,49.1811684
2008,investimento_ind,532RL|N,0.5937876336
2008,investimento_ind,532RL|S,2.319818874
2008,investimento_ind,5411|E,3.729931679
2008,investimento_ind,5411|N,1.591913024
2008,investimento_ind,5411|S,1.460284646
2008,investimento_ind,5412OP|E,23.21323145
2008,investimento_ind,5412OP|N,53.2104773
2008,investimento_ind,5412OP|S,8.883968956
2008,investimento_ind,5415|E,6.703098181
2008,investimento_ind,5415|N,20.2949621
2008,investimento_ind,5415|S,1.568140083
2008,investimento_ind,55|E,7.33722288
2008,investimento_ind,55|N,17.76336426
2008,investimento_ind,55|S,4.341450429
2008,investimento_ind,561|E,12.42992935
2008,investimento_ind,561|N,10.18554517
2008,investimento_ind,561|S,2.696935628
2008,investimento_ind,562|E,3.230718325
2008,investimento_ind,562|N,0.1794226935
2008,investimento_ind,562|S,1.301110895
2008,investimento_ind,61|E,9.405134476
2008,investimento_ind,61|N,6.492588315
2008,investimento_ind,61|S,19.52794933
2008,investimento_ind,621|E,25.25183027
2008,investimento_ind,621|N,2.921785766
2008,investimento_ind,621|S,6.4852183
2008,investimento_ind,622|E,37.90489922
2008,investimento_ind,622|N,5.7797747
2008,investimento_ind,622|S,28.7796812
2008,investimento_ind,623|E,3.007708859
2008,investimento_ind,623|N,0.4803598578
2008,investimento_ind,623|S,4.113008699
2008,investimento_ind,624|E,1.930139286
2008,investimento_ind,624|N,0.3152184299
2008,investimento_ind,624|S,1.786196416
2008,investimento_ind,711AS|E,3.125224114
2008,investimento_ind,711AS|N,8.732414184
2008,investimento_ind,711AS|S,4.67571407
2008,investimento_ind,713|E,5.674791115
2008,investimento_ind,713|N,0.3710092876
2008,investimento_ind,713|S,6.608163272
2008,investimento_ind,721|E,7.81640494
2008,investimento_ind,721|N,0.8901859757
2008,investimento_ind,721|S,30.8952858
2008,investimento_ind,722|E,10.60756001
2008,investimento_ind,722|N,0.4381593101
2008,investimento_ind,722|S,4.670804588
2008,investimento_ind,81|E,15.52433934
2008,investimento_ind,81|N,6.61717308
2008,investimento_ind,81|S,15.61787746
2008,investimento_ind,ORE|E,14.50232448
2008,investimento_ind,ORE|N,2.085990949
2008,investimento_ind,ORE|S,50.43316132
2008,investimento_ind,HS|R,503.7756754
2008,stock_ind,111CA|E,196.2556559
2008,stock_ind,111CA|N,0.05085714286
2008,stock_ind,111CA|S,250.4112932
2008,stock_ind,113FF|E,30.22891565
2008,stock_ind,113FF|N,0.1547649457
2008,stock_ind,113FF|S,17.84987181
2008,stock_ind,211|E,49.57243827
2008,stock_ind,211|N,8.239115881
2008,stock_ind,211|S,1452.083937
2008,stock_ind,212|E,38.90429862
2008,stock_ind,212|N,1.364485466
2008,stock_ind,212|S,94.76319957
2008,stock_ind,213|E,56.61927159
2008,stock_ind,213|N,1.487619107
2008,stock_ind,213|S,52.59454357
2008,stock_ind,22|E,455.4076476
2008,stock_ind,22|N,7.161854676
2008,stock_ind,22|S,1433.855971
2008,stock_ind,23|E,208.8176461
2008,stock_ind,23|N,7.168440703
2008,stock_ind,23|S,84.71590972
2008,stock_ind,311FT|E,144.9407125
2008,stock_ind,311FT|N,21.50616856
2008,stock_ind,311FT|S,128.5935718
2008,stock_ind,313TT|E,19.12004683
2008,stock_ind,313TT|N,2.208347168
2008,stock_ind,313TT|S,24.94519212
2008,stock_ind,315AL|E,6.145251207
2008,stock_ind,315AL|N,2.13972169
2008,stock_ind,315AL|S,11.98917843
2008,stock_ind,321|E,19.0425325
2008,stock_ind,321|N,0.6246845982
2008,stock_ind,321|S,22.60006969
2008,stock_ind,322|E,73.21460697
2008,stock_ind,322|N,6.921188641
2008,stock_ind,322|S,40.32640383
2008,stock_ind,323|E,31.23432602
2008,stock_ind,323|N,4.135179244
2008,stock_ind,323|S,19.8237707
2008,stock_ind,324|E,99.7052834
2008,stock_ind,324|N,31.4750517
2008,stock_ind,324|S,62.3768065
2008,stock_ind,325|E,150.564297
2008,stock_ind,325|N,406.2233334
2008,stock_ind,325|S,150.4436482
2008,stock_ind,326|E,55.17777043
2008,stock_ind,326|N,11.05972326
2008,stock_ind,326|S,31.68517097
2008,stock_ind,327|E,48.15120106
2008,stock_ind,327|N,14.59893917
2008,stock_ind,327|S,34.49733593
2008,stock_ind,331|E,88.34520535
2008,stock_ind,331|N,11.04078838
2008,stock_ind,331|S,68.71368122
2008,stock_ind,332|E,96.29754672
2008,stock_ind,332|N,16.30855322
2008,stock_ind,332|S,57.73190608
2008,stock_ind,333|E,92.15317719
2008,stock_ind,333|N,45.41076973
2008,stock_ind,333|S,68.56237928
2008,stock_ind,334|E,140.9145271
2008,stock_ind,334|N,200.7081723
2008,stock_ind,334|S,145.9768434
2008,stock_ind,335|E,23.76199188
2008,stock_ind,335|N,17.7018071
2008,stock_ind,335|S,28.80163827
2008,stock_ind,3361MV|E,100.3479849
2008,stock_ind,3361MV|N,50.72959896
2008,stock_ind,3361MV|S,52.64514366
2008,stock_ind,3364OT|E,38.88734515
2008,stock_ind,3364OT|N,63.65551751
2008,stock_ind,3364OT|S,55.17573272
2008,stock_ind,337|E,10.34851006
2008,stock_ind,337|N,2.182127356
2008,stock_ind,337|S,11.2725618
2008,stock_ind,339|E,32.50552537
2008,stock_ind,339|N,25.62259651
2008,stock_ind,339|S,32.8721027
2008,stock_ind,42|E,222.5687836
2008,stock_ind,42|N,44.45082533
2008,stock_ind,42|S,249.8416445
2008,stock_ind,441|E,25.86575196
2008,stock_ind,441|N,3.048082948
2008,stock_ind,441|S,170.5480752
2008,stock_ind,445|E,51.94999058
2008,stock_ind,445|N,3.642949215
2008,stock_ind,445|S,170.6354576
2008,stock_ind,452|E,41.6712754
2008,stock_ind,452|N,4.359493816
2008,stock_ind,452|S,151.8098463
2008,stock_ind,481|E,173.0198727
2008,stock_ind,481|N,2.086238878
2008,stock_ind,481|S,57.87071654
2008,stock_ind,482|E,36.94936223
2008,stock_ind,482|N,1.042350312
2008,stock_ind,482|S,332.2138118
2008,stock_ind,483|E,35.78091612
2008,stock_ind,483|N,0.3453312593
2008,stock_ind,483|S,6.560331328
2008,stock_ind,484|E,93.22299712
2008,stock_ind,484|N,1.130016963
2008,stock_ind,484|S,23.72764709
2008,stock_ind,485|E,17.55083748
2008,stock_ind,485|N,0.2705327731
2008,stock_ind,485|S,27.54760356
2008,stock_ind,486|E,25.54186905
2008,stock_ind,486|N,0.9739274528
2008,stock_ind,486|S,143.2291608
2008,stock_ind,487OS|E,71.76539053
2008,stock_ind,487OS|N,2.053429844
2008,stock_ind,487OS|S,61.79069802
2008,stock_ind,493|E,8.700673193
2008,stock_ind,493|N,0.4213708995
2008,stock_ind,493|S,31.69853883
2008,stock_ind,4A0|E,139.7858504
2008,stock_ind,4A0|N,16.46261131
2008,stock_ind,4A0|S,426.7557607
2008,stock_ind,511|E,25.23783949
2008,stock_ind,511|N,169.9061208
2008,stock_ind,511|S,44.24290137
2008,stock_ind,512|E,10.49763387
2008,stock_ind,512|N,210.6452874
2008,stock_ind,512|S,34.00996102
2008,stock_ind,513|E,247.7668277
2008,stock_ind,513|N,132.3788778
2008,stock_ind,513|S,773.3403108
2008,stock_ind,514|E,18.75056363
2008,stock_ind,514|N,44.62432033
2008,stock_ind,514|S,15.76365769
2008,stock_ind,521CI|E,392.7666011
2008,stock_ind,521CI|N,28.81885147
2008,stock_ind,521CI|S,368.006567
2008,stock_ind,523|E,27.5661457
2008,stock_ind,523|N,17.00270313
2008,stock_ind,523|S,100.5855504
2008,stock_ind,524|E,48.51848891
2008,stock_ind,524|N,37.2276466
2008,stock_ind,524|S,160.9096564
2008,stock_ind,525|E,0.9959500097
2008,stock_ind,525|N,0.2426654318
2008,stock_ind,525|S,41.18472194
2008,stock_ind,532RL|E,355.2679802
2008,stock_ind,532RL|N,1.41626739
2008,stock_ind,532RL|S,23.34820404
2008,stock_ind,5411|E,16.12725966
2008,stock_ind,5411|N,2.499662796
2008,stock_ind,5411|S,24.89675382
2008,stock_ind,5412OP|E,114.3015243
2008,stock_ind,5412OP|N,190.1171099
2008,stock_ind,5412OP|S,107.7408901
2008,stock_ind,5415|E,21.09295652
2008,stock_ind,5415|N,41.72762772
2008,stock_ind,5415|S,24.43099494
2008,stock_ind,55|E,40.60528363
2008,stock_ind,55|N,32.85390524
2008,stock_ind,55|S,296.2175553
2008,stock_ind,561|E,69.31317555
2008,stock_ind,561|N,21.65185263
2008,stock_ind,561|S,52.83742598
2008,stock_ind,562|E,24.89970538
2008,stock_ind,562|N,0.8018739471
2008,stock_ind,562|S,73.77937086
2008,stock_ind,61|E,40.71147234
2008,stock_ind,61|N,17.83670612
2008,stock_ind,61|S,410.5246893
