caso,h,gruppo,n,MAE,RMSE,WMAE,WRMSE,sMAPE,errore_tassi,segno,theil_U,rapporto_WMAE
P1|E6|nessuna|T3,1,produzione,355,24.552323,44.43574552,37.26091276,57.60408455,0.07049643925,0.06912254663,0.6422535211,2.009921737,1.587217077
P1|E6|nessuna|T3,1,scorte,55,49.01423658,62.52978725,64.26852648,77.17257534,0.1863503828,0.2046527477,0.5818181818,4.956092314,5.28611193
P1|E6|nessuna|T3,1,stock_ind,980,13.3335756,34.32266517,168.3062769,236.01871,0.2569916146,0.403034948,0.356122449,2.721163203,2.588382475
P1|E6|nessuna|T3,1,stock_tipo,20,290.442426,314.3996261,312.6812527,331.1136944,0.05000049503,0.04939632512,0.4,1.887211736,2.194981442
P1|largo|agg+ind|T1,1,aggregati,25,220.7913256,295.4548349,319.6545811,392.8837366,0.04044753328,0.04081147236,0.72,0.840816587,0.631635625
P1|largo|agg+ind|T1,1,consumo,355,9.795844508,23.33180965,21.70010755,38.15769385,0.1012983531,0.1013303435,0.6666666667,2.501679557,1.784648034
P1|largo|agg+ind|T1,1,importazioni,355,6.272514101,19.96769615,37.02868489,55.54581299,0.1566693841,0.1422616962,0.6327433628,3.053316226,3.460873604
P1|largo|agg+ind|T1,1,investimento_ind,980,2.983975865,8.624690729,18.07149865,38.30167537,0.4226785783,0.5538210697,0.1367346939,1.833290682,1.55241029
P1|largo|agg+ind|T1,1,investimento_tipo,20,66.47467233,77.84530135,71.36778404,81.96225054,0.1005295894,0.1089377347,0.35,1.602386081,1.580212133
P1|largo|agg+ind|T1,1,produzione,355,20.76669014,39.22400881,32.82134624,51.80299152,0.06571377005,0.06251122568,0.6253521127,1.774183982,1.398103197
P1|largo|agg+ind|T1,1,scorte,55,36.04190663,43.22056605,44.84647919,51.4897108,0.1691090887,0.1688792786,0.3636363636,3.425649192,3.688640795
P1|largo|agg+ind|T1,1,stock_ind,980,2.903232761,8.84118205,36.43733281,64.26137457,0.08594582656,0.1155674412,0.7948979592,0.7009449628,0.5603697938
P1|largo|agg+ind|T1,1,stock_tipo,20,61.41032485,73.53344705,62.46772965,78.39387371,0.0100990254,0.0103818802,1,0.44139106,0.4385152808
P1|largo|agg+ind|T2,1,aggregati,25,216.5360337,306.1769082,295.0143113,405.7196052,0.04105474979,0.04143042711,0.72,0.8713298703,0.5829465928
P1|largo|agg+ind|T2,1,consumo,355,10.2439127,22.75679254,21.03860223,35.28121406,0.1142069879,0.1157692242,0.6666666667,2.440025164,1.730244886
P1|largo|agg+ind|T2,1,importazioni,355,6.848343237,21.42313224,40.03677278,58.56582232,0.1690964447,0.1513507193,0.6504424779,3.275871025,3.742023528
P1|largo|agg+ind|T2,1,investimento_ind,980,2.470656927,6.165967026,13.17467732,22.43578701,0.3194464692,0.4981652973,0.1020408163,1.31065684,1.131754761
P1|largo|agg+ind|T2,1,investimento_tipo,20,42.70705867,48.4136338,42.26258334,48.08859938,0.06850062882,0.07101415281,0.4,0.99655768,0.9357702197
P1|largo|agg+ind|T2,1,produzione,355,21.2670666,42.22417961,33.35360039,55.83462709,0.06649680478,0.06365469574,0.6225352113,1.909887984,1.420775826
P1|largo|agg+ind|T2,1,scorte,55,37.29074217,44.87497717,46.60656997,53.14702326,0.1726617306,0.1711462578,0.2363636364,3.556777326,3.833408964
