caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte,origine
P1|largo|ind|T3,1,4.383473818,1,1.762663522,1.71688295,6.862287131,16.81625499,2.245386066,3.465152961,2009
P1|largo|nessuna|T1,1,5.409806563,1,2.188196806,2.242632784,8.420228389,21.10375841,1.777365733,3.945357626,2009
P1|largo|nessuna|T2,1,3.273642255,1,2.036718191,1.089444948,5.264013943,9.967209429,2.278737144,3.446654496,2009
P1|largo|nessuna|T3,1,5.409806563,1,2.188196806,2.242632784,8.420228389,21.10375841,1.777365733,3.945357626,2009
P1|stretto|agg+ind|T1,1,3.514757093,1,1.547662058,1.87440284,4.669787007,12.83307257,1.877390189,3.540069115,2009
P1|stretto|agg+ind|T2,1,1.939390025,1,1.479955274,1.904710396,1.588145811,2.355842738,2.216714128,5.198823637,2009
P1|stretto|agg+ind|T3,1,3.071764419,1,1.618041022,1.99931199,3.319731659,10.32899163,2.12828106,3.665979364,2009
P1|stretto|agg|T1,1,3.639923249,1,1.504375165,1.808727498,5.090129802,13.49550465,1.902453014,3.665867479,2009
P1|stretto|agg|T2,1,1.892352374,1,1.417851014,1.815857363,1.773442755,2.569664385,1.974851494,4.23684593,2009
P1|stretto|agg|T3,1,3.191555519,1,1.767516508,1.977401059,3.795083274,10.14690945,1.989248826,3.898204153,2009
P1|stretto|ind|T1,1,4.413066012,1,1.721293832,1.666344905,7.080131917,17.15106498,2.235438964,3.077391219,2009
P1|stretto|ind|T2,1,3.345254314,1,2.109997974,0.9691668559,5.244334963,11.07402711,1.853568929,3.451134291,2009
P1|stretto|ind|T3,1,4.382603837,1,1.718564892,1.709305527,6.904822706,16.90044489,2.389571535,3.275102087,2009
P1|stretto|nessuna|T1,1,5.249003041,1,2.138446246,1.80682692,8.45486822,20.87241975,1.89950437,3.844605082,2009
P1|stretto|nessuna|T2,1,3.222103894,1,2.024720248,0.9841726155,5.377017605,9.691683527,1.909263393,3.588019824,2009
P1|stretto|nessuna|T3,1,5.252221585,1,2.138446246,1.80682692,8.45486822,20.87241975,1.89950437,3.908975951,2009
P1|tetto100|agg+ind|T1,1,3.659454613,1,1.742221683,2.834788332,4.072750325,11.52594583,2.023709301,4.360429922,2009
P1|tetto100|agg+ind|T2,1,2.171525838,1,1.625592502,2.824762839,1.400819345,2.139679143,2.26743581,4.578313247,2009
P1|tetto100|agg+ind|T3,1,3.404878836,1,1.807033196,2.903769851,3.253000073,10.00131913,2.15923613,4.658883761,2009
P1|tetto100|agg|T1,1,3.917268383,1,1.656306579,2.692195804,5.061064217,13.36311217,1.955939755,3.327932387,2009
P1|tetto100|agg|T2,1,2.039677716,1,1.551201146,2.698910893,1.389910207,2.127090647,1.840772827,3.638287142,2009
P1|tetto100|agg|T3,1,3.348454046,1,1.888790597,2.883702284,3.396676815,9.687172105,2.068688798,3.304383364,2009
P1|tetto100|ind|T1,1,4.440368437,1,1.769026944,1.917403069,6.888546813,16.82050216,2.271524101,3.222072995,2009
P1|tetto100|ind|T2,1,3.392852989,1,2.141579622,1.320970725,5.156335451,10.54822514,2.107322396,3.252643208,2009
P1|tetto100|ind|T3,1,4.417738203,1,1.751141945,1.935014738,6.81983418,16.73748536,2.187146019,3.296370518,2009
P1|tetto100|nessuna|T1,1,5.455635489,1,2.257122749,2.541052959,8.32019695,20.62899057,1.833429339,3.951457263,2009
P1|tetto100|nessuna|T2,1,3.284684036,1,2.063243803,1.35752297,5.096460156,9.70337801,1.729796649,3.646686792,2009
P1|tetto100|nessuna|T3,1,5.455635489,1,2.257122749,2.541052959,8.32019695,20.62899057,1.833429339,3.951457263,2009
P1|tetto110|agg+ind|T1,1,3.499063044,1,1.669880455,2.447182486,4.161804355,11.6314902,1.980993912,3.387691488,2009
P1|tetto110|agg+ind|T2,1,2.008421109,1,1.554410908,2.437176847,1.403180798,2.14240412,2.277922553,4.043441653,2009
P1|tetto110|agg+ind|T3,1,3.257319451,1,1.738889661,2.536654529,3.267153505,10.01765134,2.157489318,4.231717848,2009
P1|tetto110|agg|T1,1,3.793971501,1,1.59249342,2.330336146,5.037177175,13.3746962,1.921447458,3.522904066,2009
P1|tetto110|agg|T2,1,1.902505912,1,1.479280242,2.307780379,1.394074196,2.131895642,1.866716433,3.62095001,2009
P1|tetto110|agg|T3,1,3.285435848,1,1.827563872,2.523560472,3.396448799,9.686908988,2.078257338,4.564100381,2009
P1|tetto110|ind|T1,1,4.328028305,1,1.710033053,1.599122205,6.874772739,16.81324543,2.258460851,3.32159189,2009
P1|tetto110|ind|T2,1,3.257813773,1,2.061928173,0.9869351508,5.289398061,10.17582774,2.059003267,3.294844517,2009
P1|tetto110|ind|T3,1,4.310671638,1,1.698576098,1.611621069,6.807214089,16.77372388,2.240056864,3.335888793,2009
P1|tetto110|nessuna|T1,1,5.337227272,1,2.185503389,2.176524753,8.331358741,20.73243677,1.807173002,3.974895071,2009
P1|tetto110|nessuna|T2,1,3.198583803,1,2.004089124,0.9797225198,5.260546817,9.798886707,1.926126648,3.502718875,2009
P1|tetto110|nessuna|T3,1,5.31102855,1,2.185503389,2.176524753,8.331358741,20.73243677,1.807173002,3.450920619,2009
P2|inv1.0|m0.0|S0.0|T1,1,2.993311668,1,1.682194747,1.961014713,2.992428064,9.959212212,1.222079348,4.896760577,2009
P2|inv1.0|m0.0|S0.0|T3,1,3.002625309,1,1.681690544,1.937886003,2.992505291,9.959672419,1.259946166,5.185734733,2009
P2|inv1.0|m1.0|S1.0|T1,1,2.810722411,1,1.649478721,1.965226593,2.988362767,9.934986651,1.451328202,1.251463765,2009
P2|inv1.0|m1.0|S1.0|T3,1,2.810669501,1,1.6460194,1.968635271,2.988315378,9.934704253,1.451328202,1.251463765,2009
P2|lx0.5|li0.1|T1,1,3.96382783,1,1.406380976,1.59148272,6.211318934,16.31122138,1.594090812,2.227565107,2009
P2|lx0.5|li0.1|T3,1,3.878451281,1,1.392413913,1.635033851,5.767215238,15.41191783,1.556466624,3.955175782,2009
P2|lx0.5|li0.5|T1,1,2.82135534,1,1.777614982,2.240556646,2.235554536,9.048227721,1.57653854,3.702864898,2009
P2|lx0.5|li0.5|T3,1,2.823231124,1,1.777460275,2.24363985,2.235552634,9.048216392,1.578360118,3.721018295,2009
P2|lx2.0|li0.1|T1,1,3.949694333,1,1.244128778,1.77794359,6.03820965,16.08310761,1.674044109,2.868354513,2009
P2|lx2.0|li0.1|T3,1,3.714139469,1,1.245374154,1.796280785,5.406180428,14.93646018,1.445219869,3.089997803,2009
P2|lx2.0|li0.5|T1,1,2.682117846,1,1.575643011,2.21581628,2.207441802,9.024783475,1.322391427,2.691875593,2009
P2|lx2.0|li0.5|T3,1,2.715758626,1,1.577435067,2.20537722,2.207353673,9.024455782,1.375117116,3.364855432,2009
P2|uniformi|li0.5|T1,1,5.22742219,1,2.662834708,9.290484888,2.271742587,9.263876396,1.772697043,3.44110604,2009
P3|q25,1,3.838476942,1,1.623163102,2.300583805,5.164809992,13.80238213,1.892356285,3.070696895,2009
P3|q75,1,3.68901612,1,1.659631655,2.261908334,4.815989299,12.6739834,2.115411731,3.523746729,2009
condizionata|P1|E6|agg|T1,1,1.270892531,1,0.9168668319,0.5651860258,1.299716861,3.399512742,1.724968396,2.802672151,2009
persistenza,1,1,1,1,1,1,1,1,1,2009
trend_mobile,1,1.455275407,1,0.9635279842,0.6435053292,1.277887525,6.125644864,1.097218098,1.003250324,2009
ultimo_tasso,1,1.792778367,1,1.985351314,1.520182368,1.760512261,1.862538918,1.789654359,2.265584015,2009
P0,1,0.863947991,1,0.9274276553,0.9394906941,0.8467123016,0.4095035344,0.9250398795,0.9465535694,2010
P1|E6|agg+ind|T1,1,1.925899667,1,1.47243946,0.9854991333,2.483814943,3.507753544,1.621165716,5.198429202,2010
P1|E6|agg+ind|T2,1,1.406678376,1,1.336992517,1.331927173,0.8712417844,0.4897086734,2.938864972,4.71679992,2010
P1|E6|agg+ind|T3,1,1.75674853,1,1.403590727,0.9186400515,1.915309431,3.259123091,1.549517183,5.472584841,2010
P1|E6|agg|T1,1,2.048491715,1,1.526294433,0.991877784,2.706632054,4.15632113,2.039818485,4.681812045,2010
P1|E6|agg|T2,1,1.449192481,1,1.429929293,1.472219252,0.9032786885,0.4150970637,2.353535937,4.774113534,2010
P1|E6|agg|T3,1,2.048491715,1,1.526294433,0.991877784,2.706632054,4.15632113,2.039818485,4.681812045,2010
P1|E6|ind|T1,1,2.129729175,1,1.49425595,1.012018529,2.822566261,5.359512211,1.201488543,4.346158622,2010
P1|E6|ind|T2,1,1.434086931,1,1.311398229,1.131834121,1.056670097,0.6016482304,3.211042648,5.381325034,2010
P1|E6|ind|T3,1,2.135660784,1,1.485218202,1.035361401,2.836984545,5.41441426,1.46356271,3.949408642,2010
P1|E6|nessuna|T1,1,3.60163366,1,1.930323273,1.258669186,6.466972529,9.840271569,2.559431033,4.79085417,2010
P1|E6|nessuna|T2,1,3.581629757,1,1.925276151,1.401869835,6.322692633,9.769169593,2.581697456,4.258912051,2010
P1|E6|nessuna|T3,1,3.431332341,1,1.932540255,1.247526654,6.09187139,9.314734553,2.64079629,3.908494421,2010
P1|largo|agg+ind|T1,1,1.859715224,1,1.420886144,0.8917114328,2.485909584,3.513850546,1.652785129,4.69459446,2010
P1|largo|agg+ind|T2,1,1.412312582,1,1.357981544,1.379352623,0.87300192,0.4901633155,2.530045553,4.819866771,2010
P1|largo|agg+ind|T3,1,1.739379212,1,1.389028474,0.9187642315,1.957474047,3.27730789,1.286614584,5.269701459,2010
P1|largo|agg|T1,1,2.094618035,1,1.524462476,0.9907565307,2.706100744,4.154774613,2.060417869,5.606676585,2010
P1|largo|agg|T2,1,1.625767257,1,1.497270295,1.669168451,1.215750787,0.6688615909,2.559267879,4.756718456,2010
P1|largo|agg|T3,1,2.045996855,1,1.524462476,0.9907565307,2.706100744,4.154774613,2.060417869,4.63425299,2010
P1|largo|ind|T1,1,2.129567198,1,1.494319634,1.012034058,2.822227694,5.359010723,1.200495938,4.345793654,2010
P1|largo|ind|T2,1,1.419916115,1,1.310901333,1.233582152,1.144122503,0.6319151923,2.228187538,5.062913447,2010
P1|largo|ind|T3,1,2.132733626,1,1.486213034,1.036182699,2.815119535,5.404122792,1.454521287,3.997053108,2010
P1|largo|nessuna|T1,1,3.420359486,1,2.011605825,1.277883694,5.972630201,9.077713617,2.496416453,4.127888111,2010
P1|largo|nessuna|T2,1,3.64428065,1,1.98924677,1.547651038,6.200151581,9.666589516,2.224906874,5.305533933,2010
P1|largo|nessuna|T3,1,3.436511215,1,2.011605825,1.277883694,5.972630201,9.077713618,2.496416453,4.450922694,2010
P1|stretto|agg+ind|T1,1,1.852282662,1,1.41203947,0.9003970666,2.485106309,3.511512404,1.472806492,4.734777482,2010
P1|stretto|agg+ind|T2,1,1.271958236,1,1.227827613,1.080634869,0.8464128016,0.4626302226,2.507706849,4.769771326,2010
P1|stretto|agg+ind|T3,1,1.8447908,1,1.425493576,1.025154024,2.326150237,3.438095177,1.287226232,4.723912859,2010
P1|stretto|agg|T1,1,2.030236256,1,1.514071001,0.9639611477,2.707838693,4.15983337,1.936144572,4.649366136,2010
P1|stretto|agg|T2,1,1.298763325,1,1.305554501,1.271829509,0.6163161057,0.3283120499,2.387148165,5.001925751,2010
P1|stretto|agg|T3,1,2.031567035,1,1.514071001,0.9639611477,2.707838693,4.15983337,1.936144572,4.675981724,2010
P1|stretto|ind|T1,1,2.109962495,1,1.477109043,0.9745302783,2.755587521,5.304966218,1.285930561,4.571200884,2010
P1|stretto|ind|T2,1,1.289844394,1,1.186480744,1.017553184,1.06073881,0.6035542139,2.977664629,4.144956001,2010
P1|stretto|ind|T3,1,2.053429941,1,1.408916148,0.9078228197,2.653665861,5.315379831,1.555744306,4.366997611,2010
P1|stretto|nessuna|T1,1,3.669895307,1,1.832527904,1.097030746,6.72722029,10.30783249,2.621052501,5.674955591,2010
P1|stretto|nessuna|T2,1,3.539336216,1,1.816261531,1.085802721,6.354821772,10.22871264,2.493146498,5.00447993,2010
P1|stretto|nessuna|T3,1,3.627116675,1,1.832527904,1.097030746,6.72722029,10.30783249,2.621052501,4.819382957,2010
P1|tetto100|agg+ind|T1,1,1.892429889,1,1.434859482,0.891554299,2.487001816,3.517029772,1.63685523,5.271193066,2010
P1|tetto100|agg+ind|T2,1,1.176398702,1,1.212951364,0.859652852,0.7610375638,0.4300415648,1.214074372,5.974040994,2010
P1|tetto100|agg+ind|T3,1,1.729165035,1,1.397249175,0.8918279726,1.908167145,3.246090363,1.535760972,5.188227546,2010
P1|tetto100|agg|T1,1,2.02353472,1,1.381680688,0.8931381258,2.716368839,4.184662594,2.001925991,5.585054979,2010
P1|tetto100|agg|T2,1,1.131727077,1,1.331217931,0.8808132953,0.588176617,0.3210436341,2.17462026,4.192940176,2010
P1|tetto100|agg|T3,1,2.05412839,1,1.455317292,0.89374147,2.710474141,4.167504532,1.921331776,5.889977825,2010
P1|tetto100|ind|T1,1,2.138128094,1,1.445326682,0.8961932126,2.779938269,5.32889293,1.647265072,5.288638502,2010
P1|tetto100|ind|T2,1,1.277630662,1,1.027826156,0.8595039219,1.321286278,0.7274732777,1.931600539,5.556940559,2010
P1|tetto100|ind|T3,1,2.181348582,1,1.399310506,0.8981493247,2.962381781,5.476166041,1.705805618,5.334547838,2010
P1|tetto100|nessuna|T1,1,3.707509344,1,1.881033186,0.8936792905,7.291953939,10.58040531,1.87609997,5.297185687,2010
P1|tetto100|nessuna|T2,1,3.564108047,1,1.752497819,0.8986314443,6.727156352,10.40593757,2.271975073,5.382909756,2010
P1|tetto100|nessuna|T3,1,3.814881107,1,1.792721841,0.897874455,7.545480625,10.76046528,2.542795464,5.908395834,2010
P1|tetto110|agg+ind|T1,1,1.891625851,1,1.458303642,0.9620359337,2.484225842,3.508949572,1.557545159,4.798131904,2010
P1|tetto110|agg+ind|T2,1,1.28276353,1,1.230500104,1.080689943,0.8540236907,0.4646171877,2.509889013,4.932912174,2010
