caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P1|stretto|nessuna|T3,4,1.954404481,1,1.406731707,1.128463756,3.621173394,2.286436858,3.152433082,1.666916473
P1|E6|nessuna|T3,4,1.963978125,1,1.434203224,1.273992492,3.432735496,2.264409379,3.067982422,1.702645039
P1|tetto110|nessuna|T3,4,1.96665963,1,1.415754551,1.125246119,3.64451165,2.295464272,3.182347821,1.735865616
P1|tetto100|nessuna|T3,4,1.969002318,1,1.396747199,1.081820269,3.802368997,2.32296672,3.094428625,1.558803502
P1|largo|nessuna|T3,4,1.987643503,1,1.444792396,1.284388393,3.526510502,2.275783228,3.024603299,1.695573558
P1|E6|nessuna|T2,4,1.996551978,1,1.51397744,1.155868917,3.856251967,1.834601023,3.057581083,1.760170428
P1|stretto|nessuna|T2,4,1.997020762,1,1.501609176,1.123170157,3.871128443,1.894501819,3.138017834,1.780203992
P1|tetto100|nessuna|T2,4,2.006746384,1,1.471643107,1.043993519,4.024378345,2.017234328,3.195959435,1.713166443
P1|tetto110|nessuna|T2,4,2.018383844,1,1.503442066,1.123901055,3.94624718,1.924950993,3.156727339,1.812000099
P1|largo|nessuna|T2,4,2.028079737,1,1.529533409,1.20582712,3.882523181,1.845862934,3.043660081,1.883952884
condizionata|P1|E6|agg|T1,5,0.7551445987,1,0.7109872087,0.7562071342,0.6250883694,0.5290607274,1.901723196,0.839527789
P1|stretto|agg+ind|T2,5,0.9758065309,1,1.062506787,0.9814726821,0.9652679862,0.6042565315,1.182919267,0.9997495263
P1|tetto110|agg+ind|T2,5,0.9767751478,1,1.068343018,0.9932610077,0.9439196755,0.6067855246,1.176872803,0.9997562451
P1|tetto100|agg|T2,5,0.9904348473,1,1.222588579,1.009918355,0.6776886407,0.3811980697,1.943936308,0.996568334
P1|tetto100|agg+ind|T2,5,0.9924775501,1,1.096180999,1.048951428,0.9373030634,0.5961763303,1.037191524,1
P0,5,0.9946378683,1,0.9658380585,0.9681008382,1.148285541,0.5490684058,1.677710156,0.9201348545
persistenza,5,1,1,1,1,1,1,1,1
P1|E6|agg+ind|T2,5,1.013025029,1,1.101853908,1.068208108,0.9662826296,0.614896589,1.164991438,0.9802133445
P1|tetto110|ind|T2,5,1.028143774,1,1.110179235,0.9661618705,1.109495731,0.8266886238,1.021872834,0.9915958503
P1|stretto|ind|T2,5,1.036935475,1,1.118192171,0.9468655162,1.142159452,0.8864229331,1.015089635,0.991790073
P1|tetto100|ind|T2,5,1.038771792,1,1.132610324,1.020843098,1.058155284,0.8179393144,0.986215534,1
P1|stretto|agg|T2,5,1.04128792,1,1.323242408,0.961205749,0.7936432719,0.3893036535,2.197483219,0.9684058428
P1|tetto110|agg|T2,5,1.046699385,1,1.330384207,0.9788693593,0.7832233088,0.3878703359,2.201813146,0.9680192543
P1|largo|agg+ind|T2,5,1.047366065,1,1.127785384,1.132435686,0.9663799854,0.6143822852,1.314269143,0.9774412152
P1|E6|ind|T2,5,1.079599594,1,1.151097679,1.076675496,1.11481255,0.8467383308,1.097887411,0.9747385532
selezionata,5,1.080843842,1,1.192374136,1.028794582,0.9048930117,0.8832767164,1.910379996,0.9933590591
P1|stretto|agg+ind|T3,5,1.08397905,1,1.078660394,1.058256446,1.139520322,1.088260986,1.136956836,0.9865198582
P1|tetto110|agg+ind|T3,5,1.08595561,1,1.082027079,1.092209291,1.104950272,1.067523574,1.131882264,0.9869634756
