caso,origine,H,secondi,stato
P1|tetto110|agg+ind|T3,2010,5,5.741244316,Optimal
P1|tetto110|ind|T1,2010,5,5.432165861,Optimal
P1|tetto110|ind|T2,2010,5,5.546648026,Optimal
P1|tetto110|ind|T3,2010,5,5.726925373,Optimal
P1|tetto110|nessuna|T1,2010,5,5.037909746,Optimal
P1|tetto110|nessuna|T2,2010,5,4.983562231,Optimal
P1|tetto110|nessuna|T3,2010,5,4.826405048,Optimal
P2|lx0.5|li0.1|T1,2010,5,5.434031248,Optimal
P2|lx0.5|li0.1|T3,2010,5,5.067976713,Optimal
P2|lx0.5|li0.5|T1,2010,5,5.378512144,Optimal
P2|lx0.5|li0.5|T3,2010,5,5.037346601,Optimal
P2|lx2.0|li0.1|T1,2010,5,5.1769104,Optimal
P2|lx2.0|li0.1|T3,2010,5,5.020935774,Optimal
P2|lx2.0|li0.5|T1,2010,5,5.341409683,Optimal
P2|lx2.0|li0.5|T3,2010,5,5.043154716,Optimal
P2|inv1.0|m0.0|S0.0|T1,2010,5,5.257850885,Optimal
P2|inv1.0|m0.0|S0.0|T3,2010,5,5.350071192,Optimal
P2|inv1.0|m1.0|S1.0|T1,2010,5,5.582669497,Optimal
P2|inv1.0|m1.0|S1.0|T3,2010,5,8.256295919,Optimal
P2|uniformi|li0.5|T1,2010,5,5.339510202,Optimal
P3|q25,2010,5,5.817312002,Optimal
P3|q75,2010,5,5.031369925,Optimal
P1|E6|agg|T1,2011,5,5.752206326,Optimal
P1|E6|agg|T2,2011,5,4.972263336,Optimal
P1|E6|agg|T3,2011,5,5.214829206,Optimal
P1|E6|agg+ind|T1,2011,5,5.681899786,Optimal
P1|E6|agg+ind|T2,2011,5,5.683305264,Optimal
P1|E6|agg+ind|T3,2011,5,5.8750844,Optimal
P1|E6|ind|T1,2011,5,5.545133114,Optimal
P1|E6|ind|T2,2011,5,5.89611578,Optimal
P1|E6|ind|T3,2011,5,5.748279572,Optimal
P1|E6|nessuna|T1,2011,5,4.930559635,Optimal
P1|E6|nessuna|T2,2011,5,5.52198267,Optimal
P1|E6|nessuna|T3,2011,5,4.857149363,Optimal
P1|stretto|agg|T1,2011,5,4.883406639,Optimal
P1|stretto|agg|T2,2011,5,5.048769951,Optimal
P1|stretto|agg|T3,2011,5,4.972865105,Optimal
P1|stretto|agg+ind|T1,2011,5,5.575033188,Optimal
P1|stretto|agg+ind|T2,2011,5,5.563239098,Optimal
P1|stretto|agg+ind|T3,2011,5,5.580925226,Optimal
P1|stretto|ind|T1,2011,5,5.987565041,Optimal
P1|stretto|ind|T2,2011,5,6.482572794,Optimal
P1|stretto|ind|T3,2011,5,6.050450325,Optimal
P1|stretto|nessuna|T1,2011,5,5.095330238,Optimal
P1|stretto|nessuna|T2,2011,5,5.394392729,Optimal
P1|stretto|nessuna|T3,2011,5,6.403190851,Optimal
P1|largo|agg|T1,2011,5,5.999996424,Optimal
P1|largo|agg|T2,2011,5,4.979609728,Optimal
P1|largo|agg|T3,2011,5,4.965501547,Optimal
P1|largo|agg+ind|T1,2011,5,5.740338087,Optimal
P1|largo|agg+ind|T2,2011,5,5.697455645,Optimal
P1|largo|agg+ind|T3,2011,5,6.629229069,Optimal
P1|largo|ind|T1,2011,5,7.336380005,Optimal
P1|largo|ind|T2,2011,5,6.833576918,Optimal
P1|largo|ind|T3,2011,5,6.854129076,Optimal
P1|largo|nessuna|T1,2011,5,5.878217936,Optimal
P1|largo|nessuna|T2,2011,5,5.532945395,Optimal
P1|largo|nessuna|T3,2011,5,5.856455803,Optimal
P1|tetto100|agg|T1,2011,5,6.09725523,Optimal
P1|tetto100|agg|T2,2011,5,6.282328606,Optimal
P1|tetto100|agg|T3,2011,5,5.563964844,Optimal
P1|tetto100|agg+ind|T1,2011,5,6.553203106,Optimal
P1|tetto100|agg+ind|T2,2011,5,6.052899599,Optimal
P1|tetto100|agg+ind|T3,2011,5,6.652621269,Optimal
P1|tetto100|ind|T1,2011,5,5.7163589,Optimal
P1|tetto100|ind|T2,2011,5,5.391422749,Optimal
P1|tetto100|ind|T3,2011,5,5.411953926,Optimal
P1|tetto100|nessuna|T1,2011,5,5.080129862,Optimal
P1|tetto100|nessuna|T2,2011,5,5.490533113,Optimal
P1|tetto100|nessuna|T3,2011,5,5.098033905,Optimal
P1|tetto110|agg|T1,2011,5,5.410841227,Optimal
P1|tetto110|agg|T2,2011,5,5.586856604,Optimal
P1|tetto110|agg|T3,2011,5,4.970362425,Optimal
P1|tetto110|agg+ind|T1,2011,5,5.736113071,Optimal
P1|tetto110|agg+ind|T2,2011,5,5.893438101,Optimal
P1|tetto110|agg+ind|T3,2011,5,6.433671474,Optimal
P1|tetto110|ind|T1,2011,5,6.004526377,Optimal
P1|tetto110|ind|T2,2011,5,5.540003538,Optimal
P1|tetto110|ind|T3,2011,5,5.536077261,Optimal
P1|tetto110|nessuna|T1,2011,5,4.885751247,Optimal
P1|tetto110|nessuna|T2,2011,5,4.927534103,Optimal
P1|tetto110|nessuna|T3,2011,5,4.827174425,Optimal
P2|lx0.5|li0.1|T1,2011,5,5.404717922,Optimal
P2|lx0.5|li0.1|T3,2011,5,5.22838378,Optimal
P2|lx0.5|li0.5|T1,2011,5,5.578199863,Optimal
P2|lx0.5|li0.5|T3,2011,5,5.297205448,Optimal
P2|lx2.0|li0.1|T1,2011,5,5.376315594,Optimal
P2|lx2.0|li0.1|T3,2011,5,5.211089373,Optimal
P2|lx2.0|li0.5|T1,2011,5,5.242976189,Optimal
P2|lx2.0|li0.5|T3,2011,5,5.309701681,Optimal
P2|inv1.0|m0.0|S0.0|T1,2011,5,5.37787199,Optimal
P2|inv1.0|m0.0|S0.0|T3,2011,5,5.284821987,Optimal
P2|inv1.0|m1.0|S1.0|T1,2011,5,5.467122078,Optimal
P2|inv1.0|m1.0|S1.0|T3,2011,5,5.276329279,Optimal
P2|uniformi|li0.5|T1,2011,5,5.233709574,Optimal
P3|q25,2011,5,4.852972031,Optimal
P3|q75,2011,5,6.551208258,Optimal
P1|E6|agg|T1,2012,5,5.904079676,Optimal
P1|E6|agg|T2,2012,5,5.555187464,Optimal
P1|E6|agg|T3,2012,5,5.195351362,Optimal
P1|E6|agg+ind|T1,2012,5,5.561577559,Optimal
P1|E6|agg+ind|T2,2012,5,5.736485004,Optimal
P1|E6|agg+ind|T3,2012,5,5.684619427,Optimal
P1|E6|ind|T1,2012,5,5.834490299,Optimal
P1|E6|ind|T2,2012,5,5.976360321,Optimal
P1|E6|ind|T3,2012,5,6.268961191,Optimal
P1|E6|nessuna|T1,2012,5,5.447477341,Optimal
P1|E6|nessuna|T2,2012,5,5.454329729,Optimal
P1|E6|nessuna|T3,2012,5,5.50020957,Optimal
P1|stretto|agg|T1,2012,5,5.477596998,Optimal
P1|stretto|agg|T2,2012,5,5.560739994,Optimal
P1|stretto|agg|T3,2012,5,5.265200138,Optimal
P1|stretto|agg+ind|T1,2012,5,5.831823111,Optimal
P1|stretto|agg+ind|T2,2012,5,5.867498398,Optimal
P1|stretto|agg+ind|T3,2012,5,6.2695961,Optimal
P1|stretto|ind|T1,2012,5,6.250785112,Optimal
P1|stretto|ind|T2,2012,5,6.15836978,Optimal
P1|stretto|ind|T3,2012,5,6.163606644,Optimal
P1|stretto|nessuna|T1,2012,5,5.559946299,Optimal
P1|stretto|nessuna|T2,2012,5,5.492497444,Optimal
P1|stretto|nessuna|T3,2012,5,5.336638927,Optimal
P1|largo|agg|T1,2012,5,5.377565622,Optimal
P1|largo|agg|T2,2012,5,5.418355227,Optimal
P1|largo|agg|T3,2012,5,5.492695808,Optimal
P1|largo|agg+ind|T1,2012,5,6.116909981,Optimal
P1|largo|agg+ind|T2,2012,5,5.946111917,Optimal
P1|largo|agg+ind|T3,2012,5,6.555964708,Optimal
P1|largo|ind|T1,2012,5,6.159576654,Optimal
P1|largo|ind|T2,2012,5,6.5034585,Optimal
P1|largo|ind|T3,2012,5,6.423371315,Optimal
P1|largo|nessuna|T1,2012,5,5.34919858,Optimal
P1|largo|nessuna|T2,2012,5,5.657375813,Optimal
P1|largo|nessuna|T3,2012,5,5.576209068,Optimal
P1|tetto100|agg|T1,2012,5,5.666147232,Optimal
P1|tetto100|agg|T2,2012,5,5.261838436,Optimal
P1|tetto100|agg|T3,2012,5,5.228945732,Optimal
P1|tetto100|agg+ind|T1,2012,5,5.782345533,Optimal
P1|tetto100|agg+ind|T2,2012,5,5.928243637,Optimal
P1|tetto100|agg+ind|T3,2012,5,6.32284832,Optimal
P1|tetto100|ind|T1,2012,5,5.91826129,Optimal
P1|tetto100|ind|T2,2012,5,5.694177151,Optimal
P1|tetto100|ind|T3,2012,5,6.067654848,Optimal
P1|tetto100|nessuna|T1,2012,5,5.507399797,Optimal
P1|tetto100|nessuna|T2,2012,5,5.209093571,Optimal
P1|tetto100|nessuna|T3,2012,5,5.612516642,Optimal
P1|tetto110|agg|T1,2012,5,5.839653254,Optimal
P1|tetto110|agg|T2,2012,5,5.239059448,Optimal
P1|tetto110|agg|T3,2012,5,5.444077969,Optimal
P1|tetto110|agg+ind|T1,2012,5,5.562385082,Optimal
P1|tetto110|agg+ind|T2,2012,5,5.642799139,Optimal
P1|tetto110|agg+ind|T3,2012,5,5.842802286,Optimal
P1|tetto110|ind|T1,2012,5,5.983030558,Optimal
P1|tetto110|ind|T2,2012,5,5.733635187,Optimal
P1|tetto110|ind|T3,2012,5,6.213784933,Optimal
P1|tetto110|nessuna|T1,2012,5,5.112685442,Optimal
P1|tetto110|nessuna|T2,2012,5,5.096203327,Optimal
P1|tetto110|nessuna|T3,2012,5,5.044957876,Optimal
P2|lx0.5|li0.1|T1,2012,5,5.746901035,Optimal
P2|lx0.5|li0.1|T3,2012,5,5.603289604,Optimal
P2|lx0.5|li0.5|T1,2012,5,6.09694767,Optimal
P2|lx0.5|li0.5|T3,2012,5,5.610841274,Optimal
P2|lx2.0|li0.1|T1,2012,5,6.421186209,Optimal
P2|lx2.0|li0.1|T3,2012,5,5.350422859,Optimal
P2|lx2.0|li0.5|T1,2012,5,5.262880802,Optimal
P2|lx2.0|li0.5|T3,2012,5,5.284838915,Optimal
P2|inv1.0|m0.0|S0.0|T1,2012,5,5.997833967,Optimal
P2|inv1.0|m0.0|S0.0|T3,2012,5,5.317279577,Optimal
P2|inv1.0|m1.0|S1.0|T1,2012,5,5.7183671,Optimal
P2|inv1.0|m1.0|S1.0|T3,2012,5,5.348273516,Optimal
P2|uniformi|li0.5|T1,2012,5,5.355931282,Optimal
P3|q25,2012,5,5.419670582,Optimal
P3|q75,2012,5,5.150763035,Optimal
P1|E6|agg|T1,2013,5,5.396623611,Optimal
P1|E6|agg|T2,2013,5,5.527607203,Optimal
P1|E6|agg|T3,2013,5,5.714194536,Optimal
P1|E6|agg+ind|T1,2013,5,5.963335514,Optimal
P1|E6|agg+ind|T2,2013,5,6.451490402,Optimal
P1|E6|agg+ind|T3,2013,5,6.387564659,Optimal
P1|E6|ind|T1,2013,5,6.475357533,Optimal
P1|E6|ind|T2,2013,5,5.723550797,Optimal
P1|E6|ind|T3,2013,5,5.814304113,Optimal
P1|E6|nessuna|T1,2013,5,5.129687309,Optimal
P1|E6|nessuna|T2,2013,5,5.084666729,Optimal
P1|E6|nessuna|T3,2013,5,5.174659014,Optimal
P1|stretto|agg|T1,2013,5,5.035856009,Optimal
P1|stretto|agg|T2,2013,5,5.043393373,Optimal
P1|stretto|agg|T3,2013,5,5.238692999,Optimal
P1|stretto|agg+ind|T1,2013,5,5.558026075,Optimal
P1|stretto|agg+ind|T2,2013,5,6.027074099,Optimal
P1|stretto|agg+ind|T3,2013,5,5.757002592,Optimal
P1|stretto|ind|T1,2013,5,5.769949913,Optimal
P1|stretto|ind|T2,2013,5,5.860880375,Optimal
P1|stretto|ind|T3,2013,5,5.958949804,Optimal
P1|stretto|nessuna|T1,2013,5,5.54522419,Optimal
P1|stretto|nessuna|T2,2013,5,5.211353302,Optimal
P1|stretto|nessuna|T3,2013,5,5.334709167,Optimal
P1|largo|agg|T1,2013,5,5.209169149,Optimal
P1|largo|agg|T2,2013,5,5.217605352,Optimal
P1|largo|agg|T3,2013,5,5.720206022,Optimal
P1|largo|agg+ind|T1,2013,5,5.738117218,Optimal
P1|largo|agg+ind|T2,2013,5,5.829766989,Optimal
P1|largo|agg+ind|T3,2013,5,5.944464684,Optimal
P1|largo|ind|T1,2013,5,6.280989885,Optimal
P1|largo|ind|T2,2013,5,5.732266426,Optimal
P1|largo|ind|T3,2013,5,5.843411207,Optimal
P1|largo|nessuna|T1,2013,5,4.936630726,Optimal
P1|largo|nessuna|T2,2013,5,5.072249413,Optimal
P1|largo|nessuna|T3,2013,5,5.335041285,Optimal
P1|tetto100|agg|T1,2013,5,5.420101166,Optimal
P1|tetto100|agg|T2,2013,5,5.6014359,Optimal
P1|tetto100|agg|T3,2013,5,5.228399277,Optimal
P1|tetto100|agg+ind|T1,2013,5,5.728561401,Optimal
P1|tetto100|agg+ind|T2,2013,5,5.54206872,Optimal
P1|tetto100|agg+ind|T3,2013,5,5.674938679,Optimal
P1|tetto100|ind|T1,2013,5,5.55179882,Optimal
P1|tetto100|ind|T2,2013,5,5.666119099,Optimal
P1|tetto100|ind|T3,2013,5,5.522168636,Optimal
P1|tetto100|nessuna|T1,2013,5,5.074419022,Optimal
P1|tetto100|nessuna|T2,2013,5,4.832863331,Optimal
P1|tetto100|nessuna|T3,2013,5,5.214961052,Optimal
P1|tetto110|agg|T1,2013,5,5.007399797,Optimal
P1|tetto110|agg|T2,2013,5,5.591239691,Optimal
P1|tetto110|agg|T3,2013,5,5.478723526,Optimal
P1|tetto110|agg+ind|T1,2013,5,5.56678462,Optimal
P1|tetto110|agg+ind|T2,2013,5,5.593263149,Optimal
P1|tetto110|agg+ind|T3,2013,5,5.736946583,Optimal
P1|tetto110|ind|T1,2013,5,5.579969883,Optimal
P1|tetto110|ind|T2,2013,5,5.561559916,Optimal
P1|tetto110|ind|T3,2013,5,5.884328842,Optimal
P1|tetto110|nessuna|T1,2013,5,4.782624483,Optimal
P1|tetto110|nessuna|T2,2013,5,5.204756737,Optimal
P1|tetto110|nessuna|T3,2013,5,5.187039137,Optimal
P2|lx0.5|li0.1|T1,2013,5,6.173650265,Optimal
P2|lx0.5|li0.1|T3,2013,5,5.620833397,Optimal
P2|lx0.5|li0.5|T1,2013,5,7.307498932,Optimal
P2|lx0.5|li0.5|T3,2013,5,6.016747952,Optimal
P2|lx2.0|li0.1|T1,2013,5,6.17135787,Optimal
P2|lx2.0|li0.1|T3,2013,5,6.008450031,Optimal
P2|lx2.0|li0.5|T1,2013,5,6.116189241,Optimal
P2|lx2.0|li0.5|T3,2013,5,5.860774994,Optimal
P2|inv1.0|m0.0|S0.0|T1,2013,5,6.733921528,Optimal
P2|inv1.0|m0.0|S0.0|T3,2013,5,5.793988228,Optimal
P2|inv1.0|m1.0|S1.0|T1,2013,5,6.227058172,Optimal
P2|inv1.0|m1.0|S1.0|T3,2013,5,6.423088551,Optimal
P2|uniformi|li0.5|T1,2013,5,6.178124905,Optimal
P3|q25,2013,5,5.366954327,Optimal
P3|q75,2013,5,5.384426594,Optimal
P1|E6|agg|T1,2014,5,5.474282503,Optimal
P1|E6|agg|T2,2014,5,6.146969318,Optimal
P1|E6|agg|T3,2014,5,5.913244009,Optimal
