anno,industria,utilizzo_implicito,violato,g17
2013,487OS,1.028400664,True,False
2013,493,1.023244145,True,False
2013,4A0,1.023116764,True,False
2013,511,1.036939792,True,False
2013,512,1.039499091,True,False
2013,513,0.9781931608,False,False
2013,514,1.007012669,True,False
2013,521CI,0.9967622763,False,False
2013,523,1.007783209,True,False
2013,524,1.017750944,True,False
2013,525,1.134488028,True,False
2013,532RL,0.9897003034,False,False
2013,5411,0.9550822221,False,False
2013,5412OP,0.9682869667,False,False
2013,5415,1.076704384,True,False
2013,55,0.9562288513,False,False
2013,561,0.9780936733,False,False
2013,562,1.031115865,True,False
2013,61,0.9732263414,False,False
2013,621,0.9662337113,False,False
2013,622,0.9593119005,False,False
2013,623,0.9945968253,False,False
2013,624,0.9838285205,False,False
2013,711AS,1.023757126,True,False
2013,713,1.0159714,True,False
2013,721,1.032185026,True,False
2013,722,1.00591705,True,False
2013,81,0.9940463943,False,False
2013,ORE,1.077347179,True,False
2013,HS,1.006110078,True,False
2014,111CA,0.9360986706,False,False
2014,113FF,1.07494587,True,False
2014,211,0.8992185806,False,True
2014,212,0.7374407128,False,True
2014,213,0.9368023837,False,True
2014,22,0.8005845805,False,True
2014,23,1.0786303,True,False
2014,311FT,0.7718373149,False,True
2014,313TT,0.7013253123,False,True
2014,315AL,0.6932381292,False,True
2014,321,0.720508478,False,True
2014,322,0.8716244982,False,True
2014,323,0.6834527056,False,True
2014,324,0.7865143963,False,True
2014,325,0.7778367426,False,True
2014,326,0.8108568461,False,True
2014,327,0.6299592575,False,True
2014,331,0.748442951,False,True
2014,332,0.8455156432,False,True
2014,333,0.8238640534,False,True
2014,334,0.6835197466,False,True
2014,335,0.8128594492,False,True
2014,3361MV,0.7730181714,False,True
2014,3364OT,0.8515722599,False,True
2014,337,0.7716500233,False,True
2014,339,0.7955099747,False,True
2014,42,1.059646808,True,False
2014,441,1.213175329,True,False
2014,445,1.029185342,True,False
2014,452,0.9835676777,False,False
2014,481,1.066721725,True,False
2014,482,1.030254286,True,False
2014,483,0.9717453992,False,False
2014,484,1.025868548,True,False
2014,485,1.150193768,True,False
2014,486,0.9489001545,False,False
2014,487OS,1.124348771,True,False
2014,493,1.009272277,True,False
2014,4A0,1.04004556,True,False
2014,511,1.049680802,True,False
2014,512,1.038344712,True,False
2014,513,0.9930403097,False,False
2014,514,0.913883053,False,False
2014,521CI,0.9940240009,False,False
2014,523,0.9573565021,False,False
2014,524,1.052541358,True,False
2014,525,1.204050087,True,False
2014,532RL,1.002409381,True,False
2014,5411,0.9278417393,False,False
2014,5412OP,0.9872191427,False,False
2014,5415,1.151200541,True,False
2014,55,1.00460939,True,False
2014,561,0.9960546889,False,False
2014,562,1.085671335,True,False
2014,61,0.961077617,False,False
2014,621,0.961899116,False,False
2014,622,0.9121794252,False,False
2014,623,0.9769913264,False,False
2014,624,0.9864308465,False,False
2014,711AS,1.066292742,True,False
2014,713,1.015746365,True,False
2014,721,1.081093146,True,False
2014,722,1.010772943,True,False
2014,81,1.035199902,True,False
2014,ORE,1.113092883,True,False
2014,HS,0.9970981325,False,False
2015,111CA,0.8964646395,False,False
2015,113FF,0.9977646232,False,False
2015,211,0.7594443114,False,True
2015,212,0.6704932375,False,True
2015,213,0.7128043077,False,True
2015,22,0.7892998763,False,True
2015,23,1.148171759,True,False
2015,311FT,0.7892983356,False,True
2015,313TT,0.6833019517,False,True
2015,315AL,0.6990519463,False,True
2015,321,0.7440104607,False,True
2015,322,0.8714260883,False,True
2015,323,0.703047352,False,True
2015,324,0.7707102565,False,True
2015,325,0.784358519,False,True
2015,326,0.829002711,False,True
2015,327,0.6570446791,False,True
2015,331,0.7052407149,False,True
2015,332,0.8325480055,False,True
2015,333,0.7657127321,False,True
2015,334,0.6559605275,False,True
2015,335,0.8121254704,False,True
2015,3361MV,0.7817493469,False,True
2015,3364OT,0.8547159539,False,True
2015,337,0.8510585594,False,True
2015,339,0.819394047,False,True
2015,42,1.037192171,True,False
2015,441,1.37230248,True,False
2015,445,1.0308781,True,False
2015,452,0.9994570632,False,False
2015,481,1.091659017,True,False
2015,482,0.9460699045,False,False
2015,483,0.8269613883,False,False
2015,484,0.9690796473,False,False
2015,485,1.220833613,True,False
2015,486,0.8824094482,False,False
2015,487OS,1.145703214,True,False
2015,493,0.9183999688,False,False
2015,4A0,1.050658683,True,False
2015,511,1.006674045,True,False
2015,512,1.080302873,True,False
2015,513,0.9928044715,False,False
2015,514,0.8409584855,False,False
2015,521CI,0.9572780281,False,False
2015,523,0.8907044501,False,False
2015,524,1.078142985,True,False
2015,525,1.352359495,True,False
2015,532RL,0.9372082197,False,False
2015,5411,0.9511005931,False,False
2015,5412OP,0.9998577583,False,False
2015,5415,1.204188026,True,False
2015,55,1.045578977,True,False
2015,561,0.9853054287,False,False
2015,562,1.094934818,True,False
2015,61,0.9554614644,False,False
2015,621,0.9873958257,False,False
2015,622,0.9174536398,False,False
2015,623,0.9546123559,False,False
2015,624,0.9790771444,False,False
2015,711AS,1.070645592,True,False
2015,713,1.006860394,True,False
2015,721,1.10728049,True,False
2015,722,1.04374851,True,False
2015,81,1.02416757,True,False
2015,ORE,1.174849656,True,False
2015,HS,0.989410546,False,False
2016,111CA,0.9445801304,False,False
2016,113FF,0.9027405307,False,False
2016,211,0.6915463466,False,True
2016,212,0.5942362668,False,True
2016,213,0.3908696,False,True
2016,22,0.7694540647,False,True
2016,23,1.179998998,True,False
2016,311FT,0.7946774556,False,True
2016,313TT,0.6834452562,False,True
2016,315AL,0.7369666695,False,True
2016,321,0.7507847397,False,True
2016,322,0.8685349223,False,True
2016,323,0.7668847067,False,True
2016,324,0.8091325042,False,True
2016,325,0.7978689706,False,True
2016,326,0.8367232538,False,True
2016,327,0.6832682607,False,True
2016,331,0.6680239219,False,True
2016,332,0.825564186,False,True
2016,333,0.7281773506,False,True
2016,334,0.6431828741,False,True
2016,335,0.7875669728,False,True
2016,3361MV,0.7660449535,False,True
2016,3364OT,0.7815633047,False,True
2016,337,0.8676243047,False,True
2016,339,0.7800327795,False,True
2016,42,1.012227597,True,False
2016,441,1.572645991,True,False
2016,445,1.01562441,True,False
2016,452,0.9421027065,False,False
2016,481,1.094391829,True,False
2016,482,0.8365066218,False,False
2016,483,0.7307656788,False,False
2016,484,0.9238138775,False,False
2016,485,1.166959015,True,False
2016,486,0.824104844,False,False
2016,487OS,1.102823046,True,False
2016,493,0.941512405,False,False
2016,4A0,1.062657367,True,False
2016,511,1.087817093,True,False
2016,512,1.070538211,True,False
2016,513,0.9863172929,False,False
2016,514,0.7977013779,False,False
2016,521CI,0.9136433204,False,False
2016,523,0.8042288302,False,False
2016,524,1.040961059,True,False
2016,525,1.237095633,True,False
2016,532RL,0.8926825407,False,False
2016,5411,0.9383743636,False,False
2016,5412OP,1.004724993,True,False
2016,5415,1.238427871,True,False
2016,55,1.063258592,True,False
2016,561,1.000208482,True,False
2016,562,1.157532568,True,False
2016,61,0.9368681384,False,False
2016,621,1.004291784,True,False
2016,622,0.8971190636,False,False
2016,623,0.9363234107,False,False
2016,624,0.9991785998,False,False
2016,711AS,1.074346016,True,False
2016,713,1.000974577,True,False
2016,721,1.102702836,True,False
2016,722,1.052415443,True,False
2016,81,1.012375704,True,False
2016,ORE,1.201684316,True,False
2016,HS,0.9841652399,False,False
