industria_io,anno,K_cap,K_somma
5412OP,2015,483846.644,481868.7354
5412OP,2016,495654.646,495011.3646
5415,2012,94683.75088,94683.75088
5415,2013,92784.81099,93575
5415,2014,93584.14853,94766.61315
5415,2015,92728.76884,93874.7066
5415,2016,97229.9046,97139.56352
55,2012,370994.8501,370994.8501
55,2013,393601.7633,374440
55,2014,399633.8677,372845.9287
55,2015,398380.8946,369614.4646
55,2016,392167.0839,365545.8428
561,2012,161690.1094,161690.1094
561,2013,170581.5203,168481
561,2014,181197.5422,176925.3115
561,2015,191635.7917,185328.4052
561,2016,200546.6918,193266.8099
562,2012,98115.0354,98115.0354
562,2013,97478.11741,97108
562,2014,97889.84957,96856.63066
562,2015,98859.81973,96973.28691
562,2016,99529.26574,97188.259
61,2012,501352.1127,501352.1127
61,2013,518091.6395,510755
61,2014,529144.2162,517383.017
61,2015,539396.966,524311.0501
61,2016,557480.4266,535168.0757
621,2012,324904.9322,324904.9322
621,2013,333643.2455,331763
621,2014,345265.2896,341482.4301
621,2015,354702.4372,349244.342
621,2016,365916.2457,358440.7417
622,2012,810444.2084,810444.2084
622,2013,853688.2561,834978
622,2014,899473.6634,861178.1098
622,2015,936614.6687,882648.9993
622,2016,979679.306,907691.6907
623,2012,81838.51124,81838.51124
623,2013,83314.40589,83641
623,2014,86613.94254,86198.63009
623,2015,90577.00086,89632.71409
623,2016,93434.37121,92192.76529
624,2012,55942.55781,55942.55781
624,2013,57125.82629,56790
624,2014,59119.66313,59090.19748
624,2015,61568.63147,60453.21272
624,2016,63252.05753,61974.83211
711AS,2012,150344.8166,150344.8166
711AS,2013,151238.3478,151918
711AS,2014,153246.3006,153924.3098
711AS,2015,157976.6991,158177.5011
711AS,2016,160926.9957,161452.5136
713,2012,152488.0139,152488.0139
713,2013,154507.2455,154727
713,2014,158162.8276,157822.7016
713,2015,164305.7608,163287.1367
713,2016,170454.4071,167653.972
721,2012,337816.1342,337816.1342
721,2013,337661.2125,337989
721,2014,339395.2111,339997.9886
721,2015,343169.5396,343093.4309
721,2016,351203.6294,350839.2267
722,2012,225843.9159,225843.9159
722,2013,229142.1993,228197
722,2014,236628.8495,233781.9509
722,2015,241302.0213,237214.0661
722,2016,244971.9733,240006.8064
81,2012,577566.3184,577566.3184
81,2013,581907.5019,576421
81,2014,586472.1116,575278.764
81,2015,603011.9635,578894.5571
81,2016,625048.2043,585849.0319
HS,2012,16320951.31,16320951.31
HS,2013,16352383,16352383
HS,2014,16463188.83,16463188.83
HS,2015,16592587.93,16592587.93
HS,2016,16773355.08,16773355.08
ORE,2012,1141587.64,1141587.64
ORE,2013,1146011.657,1139774
ORE,2014,1163665.947,1143202.422
ORE,2015,1180857.03,1149530.82
ORE,2016,1207007.323,1163358.934
