industria_io,anno,K_cap,K_somma,x_reale,kappa,u_implicito,serie_g17,u,metodo_g17,crescita_Kcap,crescita_cap_g17,scarto_u
332,2014,179568.8095,178638.8327,355583.3421,0.4051955908,0.802370984,G332,0.8471375,indagine+capitale,1.056930088,1.000986452,-0.04476651595
332,2015,183307.1973,182060.5282,347947.8634,0.4051955908,0.7691293205,G332,0.8282949167,indagine+capitale,1.07893399,0.9894322433,-0.05916559618
332,2016,185800.9085,184296.3927,340200.0873,0.4051955908,0.7419101254,G332,0.8037140833,indagine+capitale,1.093611809,0.982372825,-0.0618039579
333,2012,213669.2685,213669.2685,404552,0.4409359531,0.83484875,G333,0.83484875,indagine+capitale,1,1,0
333,2013,218249.4426,217590,391446.297,0.4409359531,0.7908507989,G333,0.7948160833,indagine+capitale,1.021435811,1.001835428,-0.003965284398
333,2014,223642.2082,222350.237,398152.7264,0.4409359531,0.7850032123,G333,0.80247775,indagine+capitale,1.046674657,1.004953821,-0.01747453771
333,2015,226648.219,224938.8872,365714.0668,0.4409359531,0.711483555,G333,0.7451495833,indagine+capitale,1.060743179,0.9958688855,-0.03366602829
333,2016,227863.3268,225850.7673,340633.2211,0.4409359531,0.6591558022,G333,0.7103750833,indagine+capitale,1.066430041,0.9647738899,-0.05121928111
334,2012,496629.1363,496629.1363,354253,1.060161279,0.7562289167,G334,0.7562289167,indagine+capitale,1,1,0
334,2013,505102.9108,503593,355219.2175,1.060161279,0.7455701641,G334,0.7290511667,indagine+capitale,1.01706258,1.072845044,0.01651899739
334,2014,512624.9607,510811.0124,354721.3471,1.060161279,0.7336003238,G334,0.72376,indagine+capitale,1.032208792,1.126082942,0.009840323821
334,2015,522057.0411,516265.2053,357910.8663,1.060161279,0.7268233393,G334,0.7139444167,indagine+capitale,1.051200993,1.151003593,0.01287892265
334,2016,527429.4468,519721.5041,365153.1145,1.060161279,0.7339772085,G334,0.6944179167,indagine+capitale,1.062018734,1.21353197,0.03955929186
335,2012,68903.43678,68903.43678,122794,0.4448070244,0.79269825,G335,0.79269825,indagine+capitale,1,1,0
335,2013,69754.19802,69455,123755.0645,0.4448070244,0.7891585534,G335,0.7888989167,indagine+capitale,1.012347153,1.002775226,0.0002596367518
335,2014,70707.70722,70100.75617,127390.7201,0.4448070244,0.8013877039,G335,0.8082785833,indagine+capitale,1.026185493,0.9962897324,-0.006890879445
335,2015,71671.21042,70815.53777,127921.5545,0.4448070244,0.7939088191,G335,0.78904625,indagine+capitale,1.040168877,1.015146613,0.004862569086
335,2016,72808.18949,71721.42945,124947.6687,0.4448070244,0.7633427103,G335,0.78029875,indagine+capitale,1.056669927,1.023092754,-0.01695603968
3361MV,2012,195723.2426,195723.2426,516699,0.2694634838,0.7113693333,G3361T3,0.7113693333,fisico,1,1,-1.110223025e-16
3361MV,2013,205037.7835,205337,550399.8909,0.2694634838,0.72334313,G3361T3,0.72675725,fisico,1.047590367,1.045656361,-0.003414120011
3361MV,2014,216665.0151,216697.5529,587203.5562,0.2694634838,0.7302974865,G3361T3,0.7771704167,fisico,1.10699686,1.065325336,-0.04687293013
3361MV,2015,229301.4966,228400.7943,612077.7708,0.2694634838,0.7192827385,G3361T3,0.808085,fisico,1.17155987,1.072873824,-0.08880226146
