industria_io,tipo,gruppo,K_inizio_2012,delta,r_usato,costo_uso,w
481,N,481,1901.043095,0.4234517366,0.08148372044,0.504935457,3.418904761
481,S,481,55133.50897,0.02337961113,0.08148372044,0.1048633316,0.7100268728
482,E,482,37691.95881,0.09052328687,0.01911581541,0.1096391023,2.222191427
482,N,482,1262.299015,0.4531414454,0.01911581541,0.4722572608,9.571822595
482,S,482,335866.2689,0.02186584567,0.01911581541,0.04098166107,0.8306260634
483,E,483,37852.31363,0.07513411274,0.08513051827,0.160264631,1.023350137
483,N,483,334.8976792,0.5404635841,0.08513051827,0.6255941024,3.99465438
483,S,483,6344.409979,0.02490381304,0.08513051827,0.1100343313,0.7026107214
484,E,484,89378.1813,0.1848549585,0.1649242999,0.3497792585,1.092033307
484,N,484,1012.380112,0.4583258741,0.1649242999,0.6232501741,1.945827068
484,S,484,23249.45409,0.02886089271,0.1649242999,0.1937851926,0.6050098161
485,E,485,16511.44675,0.1416593007,0.2865736834,0.428232984,1.18863132
485,N,485,375.1261555,0.5544801315,0.2865736834,0.8410538148,2.334483666
485,S,485,26139.01079,0.02387236476,0.2865736834,0.3104460481,0.8616942409
486,E,486,24732.19144,0.1420820313,0.05759321899,0.1996752503,1.946766018
486,N,486,845.7069534,0.4741595164,0.05759321899,0.5317527354,5.184408951
486,S,486,154946.8262,0.02713188842,0.05759321899,0.08472510741,0.8260410826
487OS,E,487OS,64478.5873,0.111975158,0.099434381,0.211409539,1.219380423
487OS,N,487OS,2034.364871,0.4925370145,0.099434381,0.5919713955,3.414407571
487OS,S,487OS,62496.75122,0.02107309539,0.099434381,0.1205074764,0.6950701384
493,E,493,8326.452011,0.1501239662,0.219750601,0.3698745672,1.353088323
493,N,493,480.3613952,0.5100326597,0.219750601,0.7297832607,2.669719132
493,S,493,33409.22586,0.02298766225,0.219750601,0.2427382632,0.8879937653
4A0,E,44RT,145882.1968,0.1626723515,0.1027236373,0.2653959888,1.510507031
4A0,N,44RT,19201.96322,0.4183426407,0.1027236373,0.521066278,2.965660032
4A0,S,44RT,418639.6069,0.02587906118,0.1027236373,0.1286026985,0.7319450501
511,E,511,28019.20185,0.2204559585,0.1882137884,0.4086697469,1.062325313
511,N,511,195439.5279,0.2336016695,0.1882137884,0.421815458,1.096497213
511,S,511,46925.28637,0.02755444026,0.1882137884,0.2157682287,0.5608833362
512,E,512,11315.62742,0.165346554,0.04311410262,0.2084606566,1.302449513
512,N,512,215201.1549,0.1280011718,0.04311410262,0.1711152744,1.069117835
512,S,512,33003.86922,0.02820881376,0.04311410262,0.07132291637,0.4456212467
513,E,513,318050.4281,0.1325292981,0.1082933235,0.2408226216,1.3014423
513,N,513,146610.058,0.2322691939,0.1082933235,0.3405625174,1.84045196
513,S,513,779008.0586,0.02470706148,0.1082933235,0.133000385,0.7187544331
514,E,514,32557.86603,0.266510096,0.3533927414,0.6199028374,1.031793539
514,N,514,55442.1594,0.3250234153,0.3533927414,0.6784161567,1.12918568
514,S,514,22186.16527,0.02542124758,0.3533927414,0.378813989,0.6305146591
521CI,E,521CI,361155.1055,0.1677201819,0.2896577617,0.4573779436,1.134056079
521CI,N,521CI,32600.79412,0.4938223266,0.2896577617,0.7834800883,1.942617412
521CI,S,521CI,360965.8062,0.02522399586,0.2896577617,0.3148817576,0.7807406901
523,E,523,32676.94363,0.178719285,0,0.178719285,1.50166362
523,N,523,21886.0249,0.4640404115,0,0.4640404115,3.899034198
523,S,523,101653.6928,0.02553768513,0,0.02553768513,0.2145768024
524,E,524,45430.25252,0.1801002536,0.5256076097,0.7057078633,1.069170777
524,N,524,40540.66977,0.4995477409,0.5256076097,1.025155351,1.553144296
524,S,524,155229.9235,0.02572957527,0.5256076097,0.5513371849,0.8352940882
525,E,525,1076.318711,0.1625912457,0.1952953318,0.3578865775,1.536136826
525,N,525,721.2405543,0.5504404843,0.1952953318,0.7457358161,3.200880731
525,S,525,39043.15067,0.02476746839,0.1952953318,0.2200628002,0.9445634254
532RL,E,532RL,350017.6297,0.1478325536,0.2128451466,0.3606777002,1.017377931
532RL,N,532RL,1394.439607,0.5270934618,0.2128451466,0.7399386084,2.087174257
532RL,S,532RL,23433.21742,0.02671421465,0.2128451466,0.2395593612,0.6757346165
5411,E,5411,15708.22796,0.2016140846,1.297544821,1.499158906,1.051970899
5411,N,5411,2823.971676,0.6009267071,1.297544821,1.898471528,1.332171522
5411,S,5411,24391.9438,0.02504925418,1.297544821,1.322594075,0.9280740511
5412OP,E,5412OP,120375.9716,0.179437804,0.2090834846,0.3885212887,1.022446603
5412OP,N,5412OP,211478.4606,0.2452448342,0.2090834846,0.4543283188,1.195626752
5412OP,S,5412OP,116368.44,0.0269918545,0.2090834846,0.2360753391,0.621264357
