anno,prodotto,rho,peso,classe
2015,514,1.2,0.002907986566,"=1,2"
2015,521CI,1.2,0.01689104087,"=1,2"
2015,523,1.2,0.01578301456,"=1,2"
2015,524,1.2,0.02862780674,"=1,2"
2015,525,1.2,0.01287120183,"=1,2"
2015,HS,1.045545544,0.1457711363,"1-1,2"
2015,ORE,1.2,0.0004053795644,"=1,2"
2015,532RL,1.2,0.007275625311,"=1,2"
2015,5411,1.2,0.00728623971,"=1,2"
2015,5412OP,1.2,0.005330397998,"=1,2"
2015,561,1,0.004521877337,=1
2015,562,1.2,0.001917257921,"=1,2"
2015,61,1,0.02646087556,=1
2015,621,1.2,0.07878067311,"=1,2"
2015,622,1.2,0.07723018335,"=1,2"
2015,623,1,0.01842904382,=1
2015,624,1,0.01562097538,=1
2015,711AS,1.2,0.005864083164,"=1,2"
2015,713,1,0.0149648089,=1
2015,721,1,0.01187317074,=1
2015,722,1,0.0521921317,=1
2015,81,1,0.0453385923,=1
2015,GFE,1.2,0.0005984820606,"=1,2"
2015,GSLE,1.2,0.005301152628,"=1,2"
2016,111CA,1.2,0.007083391202,"=1,2"
2016,113FF,1.2,0.0004924160158,"=1,2"
2016,212,1.2,3.419086597e-05,"=1,2"
2016,22,1.2,0.02078308035,"=1,2"
2016,321,1.2,0.0004036947073,"=1,2"
2016,327,1.2,0.0008782278879,"=1,2"
2016,331,1.2,6.97270811e-05,"=1,2"
2016,332,1.2,0.001526357193,"=1,2"
2016,333,1.2,0.0005966497428,"=1,2"
2016,334,1.2,0.006299823356,"=1,2"
2016,335,1.2,0.003434108184,"=1,2"
2016,3361MV,1.2,0.01498869697,"=1,2"
2016,3364OT,1.2,0.00158734021,"=1,2"
2016,337,1.2,0.003463588158,"=1,2"
2016,339,1.2,0.00691362131,"=1,2"
2016,311FT,1.2,0.04759542816,"=1,2"
2016,313TT,1.2,0.00175498851,"=1,2"
2016,315AL,1.2,0.01124956717,"=1,2"
2016,322,1.2,0.001733292529,"=1,2"
2016,323,1.2,0.0003595384917,"=1,2"
