industria_io,tipo,anno,K_corrente,K_2012,I_corrente,I_2012,D_corrente,D_2012,K_inizio_2012,altre_variazioni_2012,delta,altre_variazioni_rel
337,N,2013,2606,2539.687457,731,733.7518697,618,619.6436601,2429,-3.420752594,0.2551023714,-0.001408296663
337,N,2014,2710,2616.093508,724,720.6452947,644,641.0730833,2539.687457,-3.166160125,0.2524220378,-0.001246673136
337,N,2015,2819,2755.263634,817,818.9318437,680,678.1075398,2616.093508,-1.654178251,0.2592061551,-0.000632308534
337,N,2016,3018,2917.803178,885,900.1915011,724,734.9407241,2755.263634,-2.711232799,0.2667406178,-0.0009840193751
337,S,2011,10553,10686.97826,137,141.2439024,321,332.3250139,,,,
337,S,2012,10477,10477,122,122,325,325,10686.97826,-6.978262921,0.03041084131,-0.0006529687578
337,S,2013,10755,10358.4565,206,204.3658537,328,320.5771943,10477,-2.332156425,0.03059818596,-0.0002225977307
337,S,2014,10907,10288.64912,261,252.7560976,334,317.8705697,10358.4565,-4.692906127,0.03068705937,-0.0004530507152
337,S,2015,10989,10197.1657,241,227.6341463,338,315.2521804,10288.64912,-3.865391504,0.03064077476,-0.0003756947542
337,S,2016,10982,10133.80132,268,253.2682927,337,313.447764,10197.1657,-3.184906425,0.03073871439,-0.0003123325166
339,E,2011,32893,33096.27379,5110,5120.468208,4522,4564.625615,,,,
339,E,2012,33825,33825,5479,5479,4713,4713,33096.27379,-37.27378806,0.1424027378,-0.0011262231
339,E,2013,34484,34623.21695,5634,5708.584192,4863,4884.013759,33825,-26.35348666,0.1443906507,-0.0007791126876
339,E,2014,35589,35853.06359,6183,6363.825793,5039,5092.16932,34623.21695,-41.80983249,0.1470738357,-0.001207566373
339,E,2015,37274,37946.50795,7264,7535.354313,5298,5403.656818,35853.06359,-38.25313598,0.1507167387,-0.001066941905
339,E,2016,38991,39910.48714,7391,7777.058858,5576,5761.323273,37946.50795,-51.75638865,0.1518274957,-0.001363930213
339,N,2011,28013,28326.08025,6738,6823.815861,5571,5640.858705,,,,
339,N,2012,29601,29601,7292,7292,6011,6011,28326.08025,-6.08025251,0.2122072643,-0.0002146520964
339,N,2013,31766,30821.20595,7610,7570.388511,6375,6348.366081,29601,-1.816477215,0.2144645816,-6.136540032e-05
339,N,2014,33149,31788.45261,7689,7544.074568,6695,6580.176083,30821.20595,3.34817214,0.2134950882,0.0001086320939
339,N,2015,33854,32787.52327,8024,7828.154657,6999,6827.368726,31788.45261,-1.715270631,0.2147751201,-5.395892187e-05
339,N,2016,35661,33997.53502,8425,8339.686969,7187,7129.147211,32787.52327,-0.5280075002,0.2174347587,-1.610391538e-05
339,S,2011,31906,32315.51226,902,925.3775149,975,998.6220089,,,,
339,S,2012,32159,32159,856,856,995,995,32315.51226,-17.51226125,0.03079016641,-0.0005419150131
339,S,2013,33210,31975.51505,824,798.0332879,1013,989.5959988,32159,8.077758212,0.0307719767,0.0002511818841
339,S,2014,33833,31909.23432,970,899.9583351,1042,986.9728187,31975.51505,20.73375808,0.03086651825,0.0006484260864
339,S,2015,34320,31850.45282,993,904.0749645,1061,985.2749173,31909.23432,22.41845108,0.03087742274,0.0007025693835
339,S,2016,34458,31814.17067,1025,919.7507309,1065,983.477878,31850.45282,27.44499352,0.03087798731,0.0008616829933
42,E,2011,215719,217433.884,39169,39488.23996,33451,33824.10686,,,,
42,E,2012,224189,224189,41821,41821,35039,35039,217433.884,-26.88397436,0.1611478366,-0.0001236420648
42,E,2013,225318,225734.0448,37490,37528.84804,35973,35951.9765,224189,-31.82671597,0.1603645875,-0.0001419637715
42,E,2014,234432,234725.7198,46004,46009.48631,37109,37019.12329,225734.0448,1.311929771,0.1639944179,5.811838317e-06
42,E,2015,236443,238883.9485,42300,42449.97101,38268,38281.42694,234725.7198,-10.3153501,0.1630900396,-4.394639886e-05
42,E,2016,240491,243546.8128,43464,43932.07084,38984,39255.90258,238883.9485,-13.3039577,0.1643304325,-5.569213749e-05
42,N,2011,48083,47988.80001,20038,19896.15869,16844,16725.10898,,,,
42,N,2012,51054,51054,21229,21229,18143,18143,47988.80001,-20.80000939,0.3780673823,-0.0004334346637
42,N,2013,52592,52159.68877,20091,20206.24816,18981,19091.25461,51054,-9.304780572,0.3739423867,-0.0001822537034
42,N,2014,57487,57124.46331,25195,25512.06135,20264,20507.27744,52159.68877,-40.00937573,0.3931633398,-0.0007670554919
42,N,2015,59663,59804.78096,24420,24910.51657,21722,22211.46507,57124.46331,-18.73385981,0.3888257987,-0.0003279481105
42,N,2016,64408,64668.43918,27671,28668.6642,22897,23764.38108,59804.78096,-40.62490324,0.3973659079,-0.0006792918992
42,S,2011,250378,255520.3295,7563,7786.477812,6179,6388.303144,,,,
42,S,2012,256730,256730,7646,7646,6432,6432,255520.3295,-4.329488672,0.02517216541,-1.694381297e-05
42,S,2013,265211,257638.6255,7531,7384.377033,6612,6468.656542,256730,-7.0950404,0.02519634068,-2.763619523e-05
42,S,2014,275412,261628.2402,11025,10509.22406,6858,6531.337378,257638.6255,11.72803874,0.02535076938,4.552127507e-05
42,S,2015,289769,270387.9408,16506,15416.45787,7177,6706.557693,261628.2402,49.8004387,0.0256339212,0.000190348101
42,S,2016,305071,280657.4168,18604,17169.18441,7547,6954.659018,270387.9408,54.95061301,0.02572103992,0.0002032287862
441,E,2011,24373,24507.74389,4616,4674.597778,3933,3980.279536,,,,
441,E,2012,26378,26378,6184,6184,4254,4254,24507.74389,-59.7438932,0.1735777891,-0.002437755734
441,E,2013,26581,26531.9306,4651,4641.104898,4501,4490.941543,26378,3.767241792,0.1702532998,0.0001428175674
441,E,2014,27833,27677.39379,5802,5767.308928,4662,4626.487101,26531.9306,4.641365036,0.1743743104,0.0001749350662
441,E,2015,28402,28361.1659,5515,5482.035462,4838,4792.932768,27677.39379,-5.330576679,0.1731713905,-0.0001925967712
441,E,2016,29536,29469.0136,6094,6085.463915,5001,4973.103384,28361.1659,-4.512834171,0.175349046,-0.0001591201922
441,N,2011,3001,2995.298627,1052,1036.956086,959,941.8624067,,,,
441,N,2012,3179,3179,1199,1199,1012,1012,2995.298627,-3.298626516,0.3378628064,-0.001101267996
441,N,2013,3274,3213.483552,1066,1076.750693,1032,1045.196541,3179,2.929399761,0.3287815479,0.0009214846686
441,N,2014,3591,3514.961685,1359,1376.801474,1056,1075.373739,3213.483552,0.05039842797,0.3346442333,1.568342491e-05
441,N,2015,3842,3796.027304,1418,1432.410258,1121,1152.007802,3514.961685,0.6631626193,0.3277440566,0.0001886685201
441,N,2016,4352,4260.082329,1666,1706.094733,1194,1241.687617,3796.027304,-0.3520901678,0.3271018666,-9.275227483e-05
441,S,2011,158437,162520.8066,1744,1803.459381,4053,4203.356912,,,,
441,S,2012,160051,160051,2107,2107,4140,4140,162520.8066,-436.8066351,0.02547366141,-0.002687696696
441,S,2013,163571,159096.576,3234,3151.125215,4209,4097.42954,160051,-8.119722938,0.02560077438,-5.073209751e-05
441,S,2014,165041,157038.5086,2130,2020.266823,4270,4057.366071,159096.576,-20.96810048,0.02550253547,-0.0001317947942
441,S,2015,166501,155555.6161,2732,2539.880644,4304,4014.561637,157038.5086,-8.21150157,0.02556418596,-5.228973226e-05
441,S,2016,168414,154861.0606,3598,3290.028825,4343,3986.949029,155555.6161,2.364731163,0.02563037664,1.520183727e-05
445,E,2011,53437,53870.13612,7839,7922.543616,7651,7755.344635,,,,
445,E,2012,53645,53645,7720,7720,7800,7800,53870.13612,-145.1361167,0.1447926544,-0.002694185074
445,E,2013,52952,52846.55374,6984,6967.535923,7792,7764.552191,53645,-1.429994818,0.1447395319,-2.665662816e-05
445,E,2014,53031,52672.12339,7582,7535.336568,7775,7704.571019,52846.55374,-5.195896633,0.1457913615,-9.832044412e-05
445,E,2015,53082,52983.16358,8088,8029.497144,7795,7717.977095,52672.12339,-0.4798560102,0.1465286873,-9.110246166e-06
445,E,2016,53352,53205.87386,7998,7968.309861,7791,7745.214754,52983.16358,-0.3848296984,0.146182565,-7.263245008e-06
445,N,2011,3950,3940.2112,1377,1361.488284,1310,1287.709838,,,,
445,N,2012,4050,4050,1397,1397,1286,1286,3940.2112,-1.211199935,0.3263784439,-0.0003073946734
445,N,2013,4402,4321.091712,1593,1608.61906,1321,1337.224142,4050,-0.3032056064,0.3301788006,-7.486558183e-05
445,N,2014,4955,4853.541042,1987,2013.206059,1450,1477.166149,4321.091712,-3.590579052,0.3418502192,-0.0008309425701
445,N,2015,5630,5587.71955,2408,2454.568223,1668,1715.423236,4853.541042,-4.966478502,0.3534374637,-0.001023269085
445,N,2016,6592,6512.003437,2854,2953.64286,1934,2022.137994,5587.71955,-7.220979833,0.3618896717,-0.001292294606
445,S,2011,159908,164091.4028,2248,2338.015004,4128,4280.948994,,,,
445,S,2012,161453,161453,2023,2023,4221,4221,164091.4028,-440.402801,0.02572346831,-0.002683887111
