,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
337,40053.15888,0,26038.3306,0,458.1212012,521.0765459,3813.156805,-34264.1728,0,0,0,0,0,0,121.0679707,0,0,0,1942.898794,0
339,81681.52643,0,44299.35924,0,0,2302.121826,30082.10837,-79460.11174,0,0,76.77020197,0,0,0,144.6823037,0,0,0,885.8100227,0
311FT,521120.2933,0,0,0,0,5883.26659,65833.18974,-80269.68127,0,0,0,0,0,0,0,0,0,0,0,0
313TT,21202.31662,0,1807.964623,0,453.2120935,928.8894416,9261.54541,-30079.02245,0,0,0,0,0,0,53.72126108,0,0,0,7.814001612,0
315AL,133090.5356,0,0,0,0,1993.722654,4194.647326,-140594.6862,0,0,0,0,0,0,0,0,0,0,0,0
322,20072.52861,0,0,0,0,1119.353788,21161.16257,-22922.7528,0,0,0,0,0,0,0,0,0,0,0,0
323,5192.689687,0,0,0,0,622.6080468,2207.338544,-2417.184182,0,0,0,0,0,0,0,0,0,0,0,0
324,292511.1438,0,0,0,0,4968.012382,130349.6195,-101812.5338,0,0,0,0,0,0,0,0,0,0,0,0
325,241250.5938,0,2797.00054,0,0,3816.760709,154131.5626,-188125.1994,0,0,0,0,0,0,0,0,0,0,0,0
326,32050.77194,0,223.0394707,0,30.0618417,2237.182864,25247.09834,-47726.56778,0,0,0,0,0,0,32.97105219,0,0,0,0,0
42,494904.2182,55.30273977,197060.1556,21355.58956,2360.553787,13035.92301,198209.8704,36250.46081,0,0,8399.22488,463.7668353,0,0,4603.71053,605.4194669,0,0,7030.239515,1694.980463
441,172849.0849,0,16559.0105,0,4.045690325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,192594.9664,0,153.8343962,0.949595038,5.697570228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,203348.0007,0,1678.836895,355.8458309,154.067329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,679777.8036,0,25831.87166,5857.735022,4788.412555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,123418.2902,0,463.6569618,39.85311412,3.888108694,29.16081521,47308.56254,-41334.48353,0,0,34.02095108,0.9720271736,0,0,8.748244562,0.9720271736,0,0,18.4685163,2.916081521
482,7858.606807,0,3135.432494,0,31.46875678,527.3400757,11465.11705,393.8362591,0,0,168.7869682,0,0,0,8.582388213,0,0,0,154.4829878,0
483,19564.16897,0,11.67371228,0,0,76.85193917,6929.321047,12858.59408,0,0,2.91842807,0,0,0,0,0,0,0,0,0
484,77686.94858,17.47301105,23314.82108,580.492256,633.882012,2021.044945,30545.73549,4377.959991,0,0,651.3550231,12.61939687,0,0,186.3787845,16.50228822,0,0,834.8216391,45.6239733
485,37699.10857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,2326.619173,0,0,0,0,147.6186946,3278.249122,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,17364.28142,0,0,0,0,0,9927.465536,2849.576669,0,0,0,0,0,0,0,0,0,0,0,0
493,250.799543,0,0,0,0,0,154.7271374,0,0,0,0,0,0,0,0,0,0,0,0,0
511,73718.91978,0,0,74562.51994,0,1840.949973,35743.76329,-4169.448235,0,0,0,1408.023276,0,0,0,1836.903929,0,0,0,5148.590858
512,26565.86608,0,0,33389.51495,0,457.5977235,20444.74058,-7046.400187,0,0,0,0,0,0,0,0,0,0,0,0
513,324754.3398,0,7308.256773,25204.92502,0,0,16936.45202,-170.2155982,0,0,0,0,0,0,0,0,0,0,0,0
514,31072.85929,0,0,19344.96687,0,0,4995.63976,-1212.125776,0,0,0,855.7948297,0,0,0,1009.937992,0,0,0,3013.799102
521CI,193603.406,0,0,0,0,0,43687.91498,-6647.649561,0,0,0,0,0,0,0,0,0,0,0,0
523,193007.9865,0,0,0,0,0,61508.45377,-52.24557098,0,0,0,0,0,0,0,0,0,0,0,0
524,329109.4592,0,0,0,6697.370355,0,16705.05807,-50864.07522,0,0,0,0,0,0,0,0,0,0,0,0
525,138644.4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,1731293.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,5429.103224,20400.09145,0,0,98634.49036,0,3206.00398,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL,79280.30768,0,0,0,0,0,76346.42759,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,86503.8021,0,0,0,13889.95004,0,11499.37822,-2485.746802,0,0,0,0,0,0,0,0,0,0,0,0
5415,0,0,21816.15249,190245.8148,0,0,19089.77306,-28895.11889,0,0,1082.773811,7433.068233,0,0,0,19402.93827,0,0,1010.111296,7042.123436
5412OP,60427.46973,0,51273.68977,357668.5195,1518.292882,0,118737.9383,-79528.41594,0,0,0,54094.07532,0,0,0,66462.48828,0,0,0,17511.23878
55,0,0,0,0,0,0,4015.750878,0,0,0,0,0,0,0,0,0,0,0,0,0
561,51780.25117,0,0,0,0,0,1803.094377,-1308.16535,0,0,0,0,0,0,0,0,0,0,0,0
562,23513.41628,0,0,0,0,0,76.82867596,-153.6573519,0,0,0,0,0,0,0,0,0,0,0,0
61,306467.3452,0,0,0,0,0,2579.442627,-1280.662273,0,0,0,0,0,0,0,0,0,0,0,0
621,884551.9653,0,0,0,0,0,639.6375838,-77.62115073,0,0,0,0,0,0,0,0,0,0,0,0
622,878263.4079,0,0,0,0,0,1330.666891,-2945.29984,0,0,0,0,0,0,0,0,0,0,0,0
623,214258.079,0,0,0,0,0,159.3636549,-22.48689609,0,0,0,0,0,0,0,0,0,0,0,0
624,178914.5184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS,67916.78618,0,0,4147.354173,0,0,1559.119411,-1001.11878,0,0,0,0,0,0,0,0,0,0,0,0
713,172491.8112,0,0,0,0,0,2.897155523,0,0,0,0,0,0,0,0,0,0,0,0,0
721,134550.0707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,596845.1311,0,0,0,0,0,2489.836434,0,0,0,0,0,0,0,0,0,0,0,0,0
81,532429.1064,0,0,0,0,0,65.33709522,-3191.909269,0,0,0,0,0,0,0,0,0,0,0,0
GFGD,0,0,0,0,0,0,0,0,585139.997,0,0,0,0,0,0,0,0,0,0,0
GFGN,0,0,0,0,0,0,0,0,0,0,0,0,339576.6406,0,0,0,0,0,0,0
GFE,7199.535578,0,0,0,0,0,440.2593699,-382.9146621,0,0,0,0,0,0,0,0,0,0,0,0
GSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525643.361,0,0,0
GSLE,61135.34968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Used,61387.42851,-1948.822636,-103314.734,0,-775.2650966,3917.0269,24874.38062,-14055.5562,0,-3.876325483,0,0,0,-195.7544369,-1218.135283,0,0,2908.213193,-7860.218998,0
Other,-91317.50664,0,0,5053.759348,0,0,181711.4787,-219298.2688,0,0,0,0,0,0,0,0,0,0,0,0
