,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
485,0,0,0,0,0,0,4.437430018e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.209883016e-06,0,0,0,8.263487192e-06,0,0,0,0,0.7934736046,0,0.0001945205716,0,0,0,0,0,0,0,0,0,0,3.720674112e-06,0,0,0,7.989887086e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0.0002061621253,4.14160135e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9147058181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.548443245e-05,1.426765551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS,0,0,0,0,0,0,0.0001730597707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.460910312e-05,0,3.903829168e-05,0,0,0.0006696041843,0,0.0182936029,0.003455787979,0.004787703162,0,0.880780503,0.01011089932,0,0,0,0,0,0,5.346409123e-05,0,0,0,0.0001033475201,0,0.0004240448999,0.001009008598,0,6.614711929e-05,0,0,0,0,0,0,0,0,0,7.739087886e-05,0.001134579253,0,0,0,0,0,0,0
493,0,0,0,0,0,0,3.771815515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003238247369,0,0,0.003056134314,0.9457199792,0,0,0,0,0,0,0,0,0,0,9.395229103e-06,0,0.0002220130366,7.761604598e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,1.479143339e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02486257802,0,0,0,0.003387496543,0,0,0,0.000894817613,0,0,0,0,0,0,0,0,0.9343693948,0,0,0.08634228078,0,0,0,0,0,0,0,0,0.02267419143,0.03393133833,0,0.0007627167837,9.089008662e-06,0.01055903085,0,0,0,0,0,0,0,0,1.296662003e-06,0,0,0,0,0,0,0
512,0,0,0,0,0,0,1.70101484e-05,0,0,0,0,0,2.732697753e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.744863518e-06,0,0,0,0.0005914295833,0,0,0,0,0,0,0,0,0,0.9893131004,0,0,0,0,0,0,0,0.0001041788751,0.0002654152222,0,0.000588334547,0.0008366553191,0,0,0,0,0,0,0,0,0,0.0003081714082,0,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0.001101222216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001437492611,0,0,0,0.004259237398,0,0,0,0,0,0,0,0,0,0.006456209419,0.9973731704,3.285474915e-05,0,0,0,0,0,0,0.02328842414,0,0.004067278831,0.05455894397,0,0,0,0,0,0,0,0,0,0,0,0,0.002209512053,0,0,0,0,0,0,0
514,0,0,0,0,0,0,9.614431706e-06,0,0,0,0,0,0.001154564801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001122924075,0,0,0,0.0003978278834,0,0,0,0,0,0,0,0,0.03955606856,0,0.002058149728,0.7375515702,0,0,0,0,0,0,0.0003382282477,0,0.02788039714,0.0440665101,0,0.000398232657,0,0.001272069989,0,0,0,0,0,0,0,0,0.0001841260044,0,0,0,0,0,0,0
521CI,0,0,0,0,0,0,7.395716697e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9669177087,0.05703058624,0,0,0,0,0.1396084069,0,0.006373994281,0.0005621456271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02596358383,0.9403949257,0.006257480881,0,0,0,0,0,0.002513187574,0.0002642369801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
