industria_io,anno,x_corrente_use,x_corrente_make,indice_prezzo_2012,x_2012,fte_migliaia
311FT,2011,855987,855987,0.9636920254,887979.9837,1575
313TT,2011,52885,52886,0.9974536565,53049.34453,231
315AL,2011,24905,24904,0.9744288476,25506.76976,174
322,2011,175691,175689,0.9975988987,176160.1432,378
323,2011,84232,84234,0.9983042537,84651.0011,459
324,2011,816961,816959,0.9880448068,826133.6318,110
325,2011,782840,782840,1.000561516,784261.4949,774
326,2011,201014,201013,0.974916766,206025.6866,622
42,2011,1530799,1530799,0.9756843766,1568324.004,5343
441,2011,198782,198781,0.9996783474,200417.1631,1451
445,2011,203793,203792,0.9586514068,212323.9302,2433
452,2011,212396,212396,0.9180744942,230402.262,2644
4A0,2011,720973,720973,0.9854014599,732031.5603,6086
481,2011,194217,194216,0.9530451636,203699.3295,431
482,2011,75816,75816,0.9575460478,79148.06081,183
483,2011,48918,48918,1.018637287,48138.83694,60
484,2011,278367,278366,0.9682855025,287253.5148,1247
485,2011,49237,49236,0.9835378401,50062.38943,417
486,2011,34988,34989,0.98117488,35643.76506,40
487OS,2011,179045,179043,0.9664328657,185124.8499,1055
493,2011,97611,97611,1.021692716,95633.6742,608
511,2011,298099,298098,1.011071108,297050.5292,692
512,2011,128331,128329,0.9775876329,131246.4387,318
513,2011,709656,709657,0.9941430803,714725.948,1141
514,2011,188656,188657,0.9978065409,189451.8897,368
521CI,2011,693054,693055,0.965016118,717002.5217,2483
523,2011,452218,452218,0.96644717,467763.4456,830
524,2011,727658,727659,0.9880653864,736432.7988,2262
525,2011,113813,113813,0.9346591923,121759.9658,4
HS,2011,1686053,1686053,0.9788662184,1722491.859,
ORE,2011,823334,823334,0.9927686294,829399.2038,1305
532RL,2011,284732,284730,0.9853495229,289074.8767,488
5411,2011,297756,297757,0.9701626958,306902.2026,1065
5415,2011,330935,330937,1.007870253,329001.204,1465
5412OP,2011,1082139,1082139,0.9862511457,1097080.217,4802
55,2011,446514,446515,0.9914860055,450235.1811,1826
561,2011,628098,628098,0.9888339899,635089.7946,6777
562,2011,83194,83194,0.983866515,84543.66441,351
61,2011,306449,306449,0.9735678403,314374.1475,2932
621,2011,833821,833822,0.9875860923,844319.6697,5524
622,2011,667852,667852,0.9811134709,680613.136,4425
623,2011,201889,201888,0.9853886295,204885.7365,2865
624,2011,164574,164574,0.979945346,167932.696,2279
711AS,2011,136603,136603,0.9793003146,139471.8213,441
713,2011,115559,115560,0.9715619091,118898.9106,1149
721,2011,198744,198743,0.9718075545,204529.4087,1611
722,2011,579126,579126,0.9702877102,596838.0964,7543
81,2011,548679,548681,0.9776237208,561166.8861,5553
GFGD,2011,688109,688109,0.9892099507,695649.3049,1591
GFGN,2011,366865,366866,0.9932829646,369460.0803,2158
GFE,2011,95645,95645,1.00251691,95354.80452,591
GSLG,2011,1928683,1928681,0.978290528,1971467.636,14828
GSLE,2011,286528,286528,0.9742392943,285960.3986,1107
111CA,2012,404166,404166,1,404166,668
113FF,2012,46892,46892,1,46892,473
211,2012,362616,362616,1,362616,184
212,2012,124610,124611,1,124611,214
213,2012,126190,126190,1,126190,382
22,2012,461579,461578,1,461578,544
23,2012,1075477,1075477,1,1075477,5501
321,2012,80398,80398,1,80398,331
327,2012,99293,99294,1,99294,357
331,2012,269219,269218,1,269218,397
332,2012,343079,343079,1,343079,1382
333,2012,404551,404552,1,404552,1082
334,2012,354252,354253,1,354253,1080
335,2012,122793,122794,1,122794,366
3361MV,2012,516699,516699,1,516699,769
3364OT,2012,290816,290815,1,290815,673
337,2012,65731,65729,1,65729,343
339,2012,156593,156592,1,156592,559
311FT,2012,895874,895874,1,895874,1585
313TT,2012,51801,51802,1,51802,225
315AL,2012,19243,19244,1,19244,171
322,2012,179237,179235,1,179235,370
323,2012,83081,83081,1,83081,447
324,2012,833175,833174,1,833174,110
325,2012,794028,794029,1,794029,773
326,2012,216485,216486,1,216486,631
42,2012,1655027,1655028,1,1655028,5466
441,2012,221875,221875,1,221875,1505
445,2012,207679,207679,1,207679,2481
452,2012,210837,210838,1,210838,2665
4A0,2012,763319,763319,1,763319,6206
481,2012,195414,195415,1,195415,438
482,2012,79141,79141,1,79141,188
483,2012,50022,50023,1,50023,62
484,2012,297775,297774,1,297774,1301
485,2012,50992,50992,1,50992,428
486,2012,36442,36442,1,36442,42
487OS,2012,187233,187233,1,187233,1086
493,2012,108888,108888,1,108888,643
511,2012,296233,296233,1,296233,680
512,2012,131700,131699,1,131699,317
513,2012,733128,733128,1,733128,1116
514,2012,221542,221543,1,221543,397
521CI,2012,761618,761619,1,761619,2522
523,2012,478471,478470,1,478470,830
524,2012,798591,798591,1,798591,2307
525,2012,117259,117259,1,117259,3
HS,2012,1726663,1726663,1,1726663,
ORE,2012,889093,889093,1,889093,1328
532RL,2012,298616,298617,1,298617,496
5411,2012,306936,306935,1,306935,1071
5415,2012,354222,354223,1,354223,1540
5412OP,2012,1123862,1123861,1,1123861,4922
55,2012,478846,478846,1,478846,1885
561,2012,661562,661562,1,661562,7000
562,2012,83565,83564,1,83564,356
61,2012,309611,309610,1,309610,2978
621,2012,869254,869254,1,869254,5691
622,2012,709379,709379,1,709379,4489
623,2012,208980,208979,1,208979,2898
624,2012,169679,169679,1,169679,2654
711AS,2012,144768,144767,1,144767,453
713,2012,119836,119836,1,119836,1177
721,2012,214978,214978,1,214978,1639
722,2012,613982,613983,1,613983,7905
81,2012,576030,576029,1,576029,5681
GFGD,2012,676302,676303,1,676303,1565
GFGN,2012,370377,370378,1,370378,2140
GFE,2012,98913,98913,1,98913,574
GSLG,2012,1947061,1947062,1,1947062,14668
GSLE,2012,298569,298570,1,298570,1088
111CA,2013,437566,437567,1.041921258,420064.6127,676
113FF,2013,49830,49830,1.034006399,48198.1787,490
211,2013,412752,412753,1.068516935,391494.883,193
212,2013,114386,114386,0.9494506301,118973.5655,207
213,2013,128163,128164,1.017759478,125866.8437,396
22,2013,484352,484351,1.039217147,466097.1225,540
23,2013,1158801,1158800,1.026848297,1128512.488,5754
321,2013,89953,89952,1.073740883,83894.03777,343
327,2013,105777,105777,1.028513894,102935.0132,365
331,2013,263362,263363,0.9448489179,278329.3753,391
332,2013,350435,350433,1.005451155,348539.9126,1399
333,2013,397535,397534,1.015785613,391446.297,1086
334,2013,352554,352554,0.988578822,355219.2175,1048
335,2013,123614,123615,0.9987326361,123755.0645,368
3361MV,2013,554520,554522,1.007247811,550399.8909,810
3364OT,2013,303540,303539,1.015214999,299079.3759,681
337,2013,67476,67476,1.012677154,66598.06607,350
339,2013,167793,167792,1.010582451,165954.0944,561
311FT,2013,921832,921833,1.009513268,913026.5358,1599
313TT,2013,53607,53606,1.007608474,53184.69398,224
315AL,2013,19403,19402,1.027472353,18897.24949,167
322,2013,184845,184845,1.027810089,179916.5585,367
323,2013,83356,83352,1.005168962,82722.47182,443
324,2013,833664,833665,0.9636004414,863205.3806,110
325,2013,830112,830114,1.007941442,823247.9886,786
326,2013,224384,224385,1.021353118,219765.4445,644
42,2013,1753485,1753485,1.018910967,1721203.425,5550
441,2013,246107,246107,0.9964350172,245192.5543,1551
445,2013,212024,212021,1.021684479,207604.2028,2540
452,2013,214100,214099,0.9929709183,215202.8244,2643
4A0,2013,819353,819354,1.025702408,799086.1312,6299
481,2013,203717,203717,1.005863237,202496.1396,426
482,2013,82572,82572,1.030891585,80111.51624,188
483,2013,50581,50581,0.9990051647,50560.52114,63
484,2013,308722,308721,1.013638984,304585.4531,1320
485,2013,56379,56379,1.031857328,54639.03366,432
486,2013,38916,38918,1.059763741,36730.40608,41
487OS,2013,196137,196137,1.02852444,190820.1192,1106
493,2013,110419,110418,0.9873554164,111775.0646,672
511,2013,310680,310680,0.9941604008,310952.4895,670
512,2013,135499,135498,0.9913822151,136619.994,330
513,2013,753070,753069,1.002876081,749720.2742,1107
514,2013,240875,240876,0.9994269341,240234.7354,426
521CI,2013,814021,814022,1.04913333,777040.6913,2553
523,2013,511060,511061,1.080112094,474230.8528,841
524,2013,837430,837430,1.012167381,827356.4829,2316
525,2013,139259,139259,1.027540734,135530.3097,3
HS,2013,1783794,1783793,1.02335961,1743029.863,
ORE,2013,974986,974985,1.015071815,960462.7846,1369
532RL,2013,319341,319341,1.012664319,315356.7273,504
5411,2013,308155,308155,1.035112343,297716.879,1088
5415,2013,365346,365346,0.9873232707,369337.9096,1626
5412OP,2013,1146790,1146790,1.013748854,1131560.509,5080
55,2013,492923,492924,1.009070134,488677.7069,1978
561,2013,690747,690747,1.014278563,681213.4559,7246
562,2013,86950,86949,1.017182548,85477.27804,362
61,2013,319349,319350,1.023937089,312384.2837,3043
621,2013,872592,872592,1.00793659,865574.7508,5831
622,2013,730516,730516,1.01756458,718026.3465,4502
623,2013,213753,213753,1.009821478,211667.6564,2925
624,2013,174758,174759,1.020891194,171208.4374,2871
711AS,2013,151119,151120,1.015614959,148771.4629,474
713,2013,125114,125113,1.016536061,122979.7275,1215
721,2013,226043,226043,1.019561649,221703.7595,1686
722,2013,639734,639733,1.022567732,625613.7757,8135
81,2013,587209,587211,1.021901597,574696.2508,5670
GFGD,2013,636593,636592,1.005159548,633151.0606,1546
GFGN,2013,366571,366572,1.017048424,360537.2605,2108
GFE,2013,95628,95628,1.022872424,93450.68235,547
GSLG,2013,2021444,2021445,1.033641561,1962204.783,14657
GSLE,2013,311308,311308,1.023091955,302549.2615,1062
111CA,2014,442202,442202,1.035373428,426959.1743,688
113FF,2014,56379,56380,1.06377551,53003.29593,499
211,2014,445747,445748,1.058708921,426753.7306,197
212,2014,116134,116135,0.9291097179,122462.4409,203
213,2014,165762,165762,1.036829081,159707.2121,430
22,2014,520748,520748,1.103773786,472161.0722,544
23,2014,1264667,1264667,1.061170183,1191792.556,6043
321,2014,96667,96667,1.142776615,84868.16984,364
327,2014,113397,113397,1.061112709,107069.5856,375
331,2014,265772,265772,0.9536398086,278401.8351,391
332,2014,360645,360647,1.01391479,355583.3421,1427
333,2014,411011,411011,1.033048803,398152.7264,1107
334,2014,347933,347934,0.9724476878,354721.3471,1033
335,2014,127425,127426,0.9994810794,127390.7201,373
3361MV,2014,598887,598884,1.019702382,587203.5562,863
3364OT,2014,320975,320977,1.03124471,311534.9482,677
337,2014,69666,69666,1.032477866,67442.60484,359
339,2014,163221,163219,1.016019211,160476.4343,567
311FT,2014,953129,953126,1.047207347,910557.7956,1626
313TT,2014,55256,55258,1.023803219,53968.59719,224
