industria_io,tipo,K_inizio_a0,delta,w_costo_uso,I_anno_precedente
623,N,1.942157431,0.2851046856,3.677725039,0.5145607328
623,S,58.05293733,0.02161090653,0.5748586456,3.241210428
624,E,9.975605684,0.1770136721,2.28802621,1.911664872
624,N,0.8229764608,0.4806839422,5.732859213,0.4321452801
624,S,44.19070018,0.02425052589,0.5780476412,2.28154227
711AS,E,16.37215745,0.1576111636,1.47783199,2.750280988
711AS,N,49.13299245,0.1808237073,1.603576901,8.648145726
711AS,S,81.59782913,0.02607917607,0.5499939262,3.704773017
713,E,32.66564442,0.1612395412,1.909272722,5.920862004
713,N,1.216900306,0.4410491645,3.824616114,0.4369071241
713,S,116.6786977,0.02950155322,0.7326101657,7.474682054
721,E,38.88925589,0.1504239619,1.859071735,4.553726969
721,N,2.357558353,0.3721550522,3.524119187,0.6999593393
721,S,299.4985992,0.02810412946,0.8760899143,20.52874353
722,E,74.85638503,0.1544998152,1.307440615,10.69191032
722,N,1.793046808,0.4545468609,2.091056264,0.497810364
722,S,153.0005711,0.02668903885,0.8371248258,3.14637367
81,E,83.81819848,0.1607023246,2.287546641,11.11537608
81,N,24.79816032,0.2663155122,3.342065385,6.632167811
81,S,467.6522666,0.02130201526,0.6251896165,15.30141648
HS,R,16313.21928,0.02319336706,1,395.1590801
ORE,E,60.47359696,0.1708346754,2.116479675,10.53285278
ORE,N,3.758950677,0.6012007404,5.550718008,1.988140528
ORE,S,1089.850734,0.02620941397,0.9189819027,31.71277329
