,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
514,0.03300228495,0.02953594951,0.02265147168,0.02272506755,0.02556113895,0.02730757144,0.02639266581,0.02418578612,0.02017287445,0.02067010371,0.02098620022,0.02082789552,0.02023697554,0.02048862807,0.02034616314,0.02043763825,0.02256743093,0.02128913563,0.02169028918,0.02170738866,0.02145218384,0.02149464276,0.02280622019,0.02157867732,0.02007015918,0.02135143975,0.02372049061,0.02476685016,0.02474935235,0.02888293383,0.02536940407,0.02610689769,0.02670670801,0.0276186009,0.02731049785,0.028779317,0.02802721284,0.02649644944,0.02514037867,0.02150540856,0.05523672918,0.03788531943,0.02284286337,0.02648729945,0.02642132366,0.02704374078,0.02357352193,0,0.02941654934,0.02673424288,0.02802519934,0.02233341743,0.02151712856,0.02356405056,0.02439386403,0.02437506511,0.022079133,0.02475199563,0.02496669604,0.02395890846,0.02682608685,0.03566471427,0.02702321536,0.02637467418,0.02749309816,0.02240019026,0,0,0,0,0
521CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5415,0.1813250902,0.4012538344,0.186832975,0.09887364571,0.3953782649,0.4684132793,0.3448980394,0.2508024492,0.02404315639,0.06500697253,0.08830996562,0.1027776994,0.09806082902,0.07447444041,0.0426337831,0.1425499977,0.1603078773,0.08039597251,0.08782027875,0.08463612794,0.1279391845,0.1042197716,0.2717977288,0.138646327,0.02634540531,0.08937796215,0.5603405361,0.1247760289,0.1778528066,0.1570233625,0.4147565938,0.5531743842,0.4733248676,0.493802394,0.4537340205,0.4162407498,0.4274769275,0.5509045609,0.6519319438,0.1217536113,0.0558439911,0.2071703392,0.5812829555,0.4854362593,0.4907543255,0.4645487097,0.7245134599,0,0.345591415,0.5196526305,0.4971064699,0.2637053077,0.323479758,0.7659849653,0.7275039678,0.4334991792,0.4275700945,0.287271899,0.3451650187,0.1427680169,0.4371825293,0.05804957621,0.2640607563,0.2206117927,0.3086001241,0.1863244937,0,0,0,0,0
5412OP,0.03820645604,0.03419350987,0.5973770795,0.6705117554,0.255928544,0.09671245653,0.2548935391,0.4576699474,0.8752073335,0.8121866541,0.7745250861,0.7704619482,0.8067972857,0.8137715564,0.849460149,0.7568441888,0.625220204,0.7649595353,0.7365897454,0.7384506809,0.7143774482,0.7328670544,0.5144266335,0.6980942863,0.8787849549,0.7536870085,0.2115425806,0.5365401711,0.4909425649,0.2839779825,0.2493801278,0.08779568119,0.1251449502,0.05749734989,0.1094274579,0.06227706762,0.09340346963,0.06856030287,0.05384453953,0.709882213,0.06879293907,0.246577791,0.2409956915,0.126477908,0.1254086213,0.114477644,0.07556268262,0,0.08951823455,0.08301280565,0.03244452764,0.5472864592,0.5187382638,0.03970614192,0.02824056259,0.2871220631,0.4174242975,0.3948324194,0.3323584802,0.5647838928,0.1503388359,0.05488563409,0.2914341916,0.3648792462,0.226767642,0.611515016,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
